age,income,loan_amount,credit_score,employment_years,num_accounts,missed_payments,default
56,54674,1105,553,16,1,4,1
69,55854,10078,725,1,4,4,1
46,66271,26003,846,26,4,4,1
32,93688,7090,601,8,7,0,1
60,58518,39850,648,28,7,3,1
25,30267,2925,348,8,8,1,1
38,110825,19440,373,12,5,1,1
56,21062,40685,560,5,7,1,1
36,70448,27015,655,5,8,1,0
40,115462,34320,559,19,9,4,1
28,26229,26291,594,19,3,1,1
28,76793,37679,612,20,3,3,1
41,67915,27289,481,2,4,4,1
53,24632,4389,663,16,5,1,0
57,23596,26683,487,16,1,0,1
41,26168,14629,842,11,7,2,1
20,27561,25826,847,15,9,2,1
39,93794,36198,707,14,8,2,0
19,102152,27630,713,12,5,4,1
41,46734,34226,641,22,4,1,1
61,26371,47163,519,0,7,4,1
47,46069,33975,462,16,5,3,1
55,99905,1899,519,2,7,0,1
19,32910,12653,569,25,1,0,1
38,93479,28961,699,14,1,2,0
50,97735,17405,481,3,3,2,1
29,101264,9601,504,3,2,2,1
39,43275,34662,527,17,2,1,1
61,92274,34282,549,16,7,3,1
42,101449,22288,740,18,2,3,1
66,80004,30545,832,10,4,3,1
44,82981,37877,495,19,2,3,1
59,104659,47026,818,2,6,2,0
45,74553,16313,369,7,8,0,1
33,68447,16349,698,13,4,2,0
32,54529,8179,502,25,5,3,1
64,95703,11326,447,0,4,2,1
68,96090,45555,771,13,3,3,1
61,37260,2560,498,1,5,4,1
69,23812,14612,725,28,9,0,1
20,48024,18650,791,22,8,4,1
54,78656,27745,441,3,8,1,1
68,47285,32890,612,23,8,2,1
24,112436,21022,464,26,8,1,1
38,21605,5780,613,28,7,2,0
26,91158,19311,320,18,8,4,1
56,92303,29380,381,5,8,3,1
35,47139,45662,430,24,8,3,1
21,97149,3356,604,0,7,2,0
42,76138,5790,670,16,1,3,1
31,96125,27911,683,7,4,4,0
67,33918,25363,744,18,4,3,1
26,105655,21049,724,20,5,4,1
43,47446,11181,460,0,6,1,1
19,33046,40825,477,4,4,4,0
37,44818,17082,789,26,2,0,0
45,24324,1661,626,15,6,0,0
64,96323,38412,588,5,8,0,0
24,29111,49479,653,7,8,2,1
61,58110,3920,327,12,7,2,1
25,36389,26658,342,15,6,2,1
64,61427,49770,722,29,2,4,1
52,99579,15025,476,2,7,2,1
31,48746,9946,828,18,5,1,0
34,107886,29706,793,11,6,0,0
53,20117,46500,497,15,8,4,1
67,104471,40004,816,26,8,0,0
57,33234,17309,813,10,3,2,1
21,73441,47286,321,9,7,4,0
19,20846,34120,411,24,1,3,0
23,30954,31027,356,19,1,1,1
59,99239,8005,365,3,7,2,1
21,66514,47804,397,11,9,2,1
46,108236,1956,443,22,7,1,1
35,117579,35839,734,1,5,1,0
43,26469,9595,385,23,8,3,1
61,50105,48908,643,21,2,2,1
51,62101,13803,593,18,9,2,0
27,84323,26963,542,24,6,0,1
53,111922,37221,331,4,9,4,1
31,78067,40443,690,7,2,4,1
48,69376,34723,576,6,3,0,1
65,65587,40063,831,13,8,4,1
32,56976,49689,453,23,1,1,1
25,87584,16282,682,22,7,4,1
31,98477,5703,367,2,7,4,1
40,62533,7563,513,17,1,0,1
57,21828,26849,675,15,9,3,1
38,21917,32860,512,22,8,4,1
33,40618,32585,378,18,4,4,1
62,52254,23015,680,18,5,3,1
35,67362,13003,357,17,2,0,1
64,40128,44585,325,19,9,3,1
41,79383,27958,746,15,6,0,0
43,85545,27017,365,7,3,1,1
42,102180,12171,553,27,7,0,1
62,107958,46350,343,0,9,1,1
58,29865,13201,396,16,3,1,1
46,22219,30426,526,11,2,0,1
32,59809,18778,735,29,7,2,0
62,25287,46241,678,20,7,0,1
18,54387,43229,477,10,4,4,1
42,28512,22116,726,4,9,4,1
24,21342,49364,606,26,8,2,1
26,83076,34297,803,11,1,1,1
41,39216,20342,567,16,1,2,1
18,113070,28490,307,5,5,4,1
61,99767,20975,807,0,6,2,0
25,117829,27723,775,4,3,0,0
41,46614,24279,596,24,9,2,1
28,56258,13765,463,27,6,1,1
68,113789,47678,784,13,4,0,1
34,62078,12561,371,4,7,3,1
25,103524,42899,537,21,8,4,1
52,116573,1525,403,23,9,4,1
52,32219,23861,509,26,6,2,1
