credit_score,monthly_income,loan_amount,debt_to_income_ratio,employment_stability,late_payment_rate,total_debt_burden,default
402,6602.23,9102,0.3969,6,0.014,2620.54,0
735,4386.38,47637,0.6635,4,0.1546,2910.47,0
570,5223.12,8116,0.5045,0,0.0465,2635.06,1
406,5497.39,13937,0.4423,4,0.169,2431.69,1
371,4495.06,31161,0.3392,2,0.1514,1524.93,1
320,4994.21,5383,0.067,1,0.0808,334.67,0
421,6105.37,21320,0.6362,2,0.0165,3884.44,0
766,7095.39,5507,0.1054,9,0.2135,747.99,0
514,6699.77,15735,0.4405,3,0.2169,2951.0,1
630,9649.1,30713,0.0384,0,0.0892,370.79,0
758,2340.14,17519,0.5788,3,0.0242,1354.38,0
387,3550.96,3025,0.2878,8,0.0913,1021.88,1
672,13310.39,20919,0.1246,0,0.0989,1658.57,0
399,3520.64,38622,0.1357,6,0.0361,477.69,0
430,2033.53,39135,0.8344,7,0.301,1696.77,1
608,4481.51,36658,0.2683,8,0.0809,1202.53,0
643,1963.85,20141,0.0772,6,0.128,151.56,0
791,2406.87,30696,0.4794,8,0.0874,1153.77,0
713,27052.89,4773,0.2205,9,0.1035,5964.01,0
685,4617.98,25956,0.4551,2,0.0248,2101.83,0
491,2836.63,16819,0.2633,0,0.0963,746.99,0
576,22517.17,2528,0.123,1,0.0823,2769.76,0
460,15091.88,21955,0.1145,9,0.0094,1728.36,0
759,3824.56,45588,0.187,0,0.0101,715.07,0
613,2706.6,6049,0.3587,1,0.0035,970.78,0
321,8790.52,34616,0.5692,8,0.2011,5003.64,1
552,6529.79,21511,0.2485,4,0.0762,1622.89,0
774,6145.46,11119,0.3658,3,0.0143,2247.84,0
358,10443.96,11357,0.1782,1,0.0063,1861.63,1
810,6177.22,17167,0.8253,2,0.0208,5098.18,0
775,2835.17,46246,0.1036,8,0.2534,293.83,0
489,6234.89,23253,0.5093,2,0.017,3175.54,0
543,2960.06,35889,0.2134,7,0.0487,631.54,1
804,7195.8,46678,0.183,0,0.0295,1316.67,0
430,5367.68,30798,0.3729,4,0.0739,2001.36,1
784,1822.29,5681,0.608,1,0.0476,1107.9,0
320,4376.61,15755,0.4838,3,0.2168,2117.36,1
466,3182.12,1472,0.103,1,0.0214,327.86,1
573,3093.39,33881,0.4611,2,0.0004,1426.23,0
687,5187.79,14690,0.3047,4,0.1544,1580.62,0
615,3056.35,26912,0.3076,1,0.1844,940.28,0
313,7500.43,7473,0.4703,8,0.0447,3527.55,1
541,1793.69,42298,0.7281,7,0.1432,1306.04,1
645,5819.81,19669,0.4095,4,0.1836,2383.48,0
639,8126.01,34964,0.4842,0,0.2604,3934.23,1
391,5969.12,17462,0.7636,4,0.1611,4558.24,1
666,4250.48,21943,0.349,3,0.4528,1483.42,1
754,13507.57,39785,0.2816,8,0.0425,3804.25,0
727,2926.35,36420,0.6264,1,0.0206,1832.97,0
808,1577.42,11832,0.5991,6,0.1131,945.03,0
334,3762.46,6385,0.4801,1,0.1662,1806.52,1
505,1634.28,31362,0.5704,2,0.1484,932.19,1
380,13810.96,15708,0.3842,2,0.1164,5306.74,0
687,2442.47,24438,0.4245,9,0.2896,1036.71,0
301,7722.21,18211,0.2107,7,0.2191,1627.25,1
689,7459.02,15571,0.2052,1,0.0085,1530.87,0
405,2482.22,22307,0.3764,0,0.0188,934.29,0
776,5383.27,12002,0.4374,5,0.0023,2354.7,0
701,1697.09,37153,0.2308,5,0.1367,391.77,0
461,4143.3,23440,0.1622,0,0.0433,672.2,0
501,1559.02,2965,0.5003,4,0.5777,780.03,1
569,11660.52,33556,0.1313,8,0.0334,1531.0,0
570,16433.17,3427,0.1758,9,0.035,2889.2,0
755,2505.57,36609,0.1309,9,0.2191,328.02,0
761,2433.31,26189,0.0818,4,0.096,199.01,0
551,7105.15,26138,0.2362,6,0.0872,1678.1,0
595,2668.79,7563,0.1692,5,0.2588,451.51,0
637,10518.1,15387,0.8924,9,0.0256,9385.97,0
352,4912.6,6840,0.5813,3,0.0466,2855.63,1
516,3227.92,16154,0.8337,1,0.0547,2691.17,0
487,8651.72,25194,0.0861,9,0.0314,745.27,0
679,4220.19,47861,0.2744,4,0.1345,1158.18,0
792,11205.02,23448,0.2951,9,0.1682,3306.65,0
340,12025.15,31924,0.12,8,0.011,1442.66,1
456,2223.31,24528,0.6343,2,0.0659,1410.24,1
314,1509.3,30402,0.0799,2,0.0172,120.57,0
364,18023.44,5352,0.3489,6,0.213,6288.4,1
820,10963.7,1184,0.2515,9,0.0962,2757.28,0
643,1728.17,11384,0.1628,1,0.0717,281.34,0
428,8659.87,15319,0.0493,7,0.0097,427.0,0
771,3948.52,21449,0.4289,6,0.3096,1693.39,0
362,2698.81,42205,0.4763,7,0.0662,1285.46,1
438,9939.49,11426,0.2065,9,0.2817,2052.44,0
