age,income,credit_score,loan_amount,debt_to_income,employment_years,num_accounts,late_payments,savings,education_level,default
56,157207.17,507,11922,0.545,0,1,0,4048.63,1,0
69,37914.86,520,65198,0.4636,18,1,2,7022.72,1,1
46,97410.4,561,59739,0.2208,12,14,1,6521.15,1,0
32,24401.44,709,74602,0.401,21,12,0,3848.19,1,0
60,65226.6,630,13089,0.1432,16,2,2,3583.16,2,0
25,184765.36,643,33600,0.1617,8,6,0,5907.14,0,0
38,19835.98,373,47176,0.21,18,3,1,16248.0,2,0
56,15375.96,553,9167,0.2136,18,12,3,2846.27,2,0
36,40579.1,631,79352,0.4442,27,8,1,18668.82,1,0
40,19374.0,697,22164,0.3847,22,5,0,12872.12,1,0
28,77093.36,644,32415,0.1909,22,3,1,3036.65,1,0
28,125691.37,754,74653,0.7001,28,14,1,139.22,0,0
41,40613.92,414,72895,0.4134,5,8,2,799.31,0,1
53,28471.45,612,76829,0.2348,6,8,1,21444.77,1,1
57,40644.33,527,59650,0.3029,4,2,2,16446.88,1,0
41,72841.01,544,59981,0.1203,7,5,0,4773.53,2,0
20,15409.29,825,75868,0.4527,25,3,0,636.9,2,0
39,55062.03,827,1615,0.4564,13,7,0,16667.07,2,0
19,57753.81,726,46612,0.3665,17,2,0,2946.96,1,0
41,60686.26,341,78937,0.324,20,9,0,30601.18,2,0
61,27469.55,764,42936,0.4719,26,2,1,7400.25,3,0
47,71337.65,577,30372,0.6372,24,11,2,12558.92,0,0
55,19312.84,318,68875,0.5491,19,2,2,6195.59,2,1
19,25000.43,365,62700,0.0709,23,6,3,280.77,0,1
38,109472.99,466,9109,0.1241,2,3,1,652.55,2,0
50,75397.86,702,24758,0.3182,21,3,0,37289.64,0,0
29,15622.84,708,14317,0.4271,7,10,1,5314.44,1,0
39,27848.37,411,70001,0.4199,13,2,1,2023.29,3,1
61,25859.21,573,52423,0.3502,24,14,0,12740.21,0,1
42,29211.72,706,26622,0.2142,13,13,0,21387.0,2,0
66,27799.52,672,7800,0.3174,28,5,0,3105.87,1,1
44,17905.5,338,36539,0.3123,6,12,1,8465.88,3,1
59,42640.17,404,3600,0.221,5,11,1,2815.5,1,1
45,74377.9,623,72054,0.0332,26,5,2,17290.78,1,0
33,56996.85,713,30369,0.1373,5,7,0,908.0,0,0
32,65283.12,728,17689,0.4212,11,8,2,4660.52,3,0
64,18808.42,360,39469,0.2551,21,8,1,4778.68,1,1
68,151170.0,606,1958,0.2525,14,12,0,10131.44,2,0
61,97043.98,653,61012,0.6678,25,14,1,1962.7,1,0
69,88584.85,692,70074,0.4084,24,3,1,6443.7,2,0
20,92918.13,503,61021,0.1369,18,6,1,8030.64,1,0
54,136443.8,557,51782,0.0944,3,12,1,22153.13,3,0
68,50361.88,785,76519,0.439,2,5,1,7479.25,3,0
24,25057.33,816,60315,0.1703,12,4,0,1414.75,3,0
38,58162.0,745,25642,0.0895,24,10,0,1068.45,0,1
26,76119.82,479,1205,0.3069,15,6,2,25788.35,1,0
56,75259.3,641,13442,0.2594,12,4,1,38955.89,3,0
35,48164.66,432,6691,0.549,29,14,1,1827.6,2,0
21,18191.16,742,39909,0.3941,20,8,0,13917.26,2,0
42,35871.16,552,20504,0.3513,29,9,1,2886.36,1,0
31,129091.09,564,65270,0.1082,9,1,0,17892.58,3,0
67,54516.74,392,59051,0.6486,12,12,1,1015.98,0,1
26,49780.91,710,39798,0.5237,7,1,0,5746.9,3,0
43,29091.37,437,50330,0.8264,11,4,1,9065.15,1,1
19,35680.94,507,79919,0.5174,7,6,2,19139.39,0,0
37,116569.34,606,42716,0.3034,8,8,1,19430.01,2,0
45,64410.07,565,75624,0.2122,9,12,1,2037.02,3,1
64,84672.68,617,47982,0.4697,6,12,1,34148.48,3,0
24,42259.61,412,28444,0.5177,2,1,1,10176.39,2,1
61,59771.43,677,25734,0.0745,4,3,1,10752.07,1,0
25,27848.81,753,42745,0.3022,2,12,2,21981.62,0,0
64,70005.45,490,35571,0.0709,17,4,4,3860.98,2,0
52,40106.38,739,16389,0.3119,18,10,0,5365.16,0,0
31,41296.85,486,46038,0.5409,27,2,2,41989.52,1,0
34,62154.95,666,73795,0.5111,9,13,2,166.76,0,1
53,138896.99,388,46168,0.0394,8,9,1,20186.02,0,0
67,17976.6,486,79082,0.3748,24,3,0,18483.69,3,0
