segment,group,n,precision,recall,f1,roc_auc
age_group,18-25,131,0.5851,0.873,0.7006,0.7244
age_group,26-40,301,0.5561,0.879,0.6813,0.7943
age_group,41-60,337,0.5947,0.8385,0.6959,0.7452
age_group,60+,131,0.5368,0.85,0.6581,0.7242
region,North,229,0.6026,0.8468,0.7041,0.7666
region,South,231,0.4903,0.8444,0.6204,0.741
region,East,222,0.5497,0.8469,0.6667,0.7458
region,West,218,0.6467,0.8899,0.749,0.7749
contract_type,Month-to-Month,463,0.6072,0.9216,0.7321,0.7223
contract_type,One Year,246,0.5674,0.7619,0.6504,0.7355
contract_type,Two Year,191,0.4167,0.7292,0.5303,0.77
