threshold,tp,tn,fp,fn,precision,recall,f1,total_cost
0.1,409,75,416,0,0.4958,1.0,0.6629,2080
0.15,409,121,370,0,0.525,1.0,0.6886,1850
0.2,409,162,329,0,0.5542,1.0,0.7132,1645
0.25,408,208,283,1,0.5904,0.9976,0.7418,1465
0.3,407,273,218,2,0.6512,0.9951,0.7872,1190
0.35,404,320,171,5,0.7026,0.9878,0.8211,1105
0.4,388,376,115,21,0.7714,0.9487,0.8509,1625
0.45,372,420,71,37,0.8397,0.9095,0.8732,2205
0.5,344,455,36,65,0.9053,0.8411,0.872,3430
0.55,309,474,17,100,0.9479,0.7555,0.8408,5085
0.6,268,483,8,141,0.971,0.6553,0.7825,7090
0.65,240,489,2,169,0.9917,0.5868,0.7373,8460
0.7,192,491,0,217,1.0,0.4694,0.6389,10850
0.75,144,491,0,265,1.0,0.3521,0.5208,13250
0.8,100,491,0,309,1.0,0.2445,0.3929,15450
0.85,43,491,0,366,1.0,0.1051,0.1903,18300
0.9,24,491,0,385,1.0,0.0587,0.1109,19250
