tenure,monthly_charges,total_charges,num_products,support_calls,contract_type,payment_method,age_group,region,internet_service,online_backup,tech_support,churn
52,29.06,1709.03,3,3,0,0,1,1,1,0,1,1
15,86.8,1140.86,4,2,0,0,2,0,2,1,0,1
61,33.33,2068.61,5,4,1,0,1,3,2,0,0,1
21,105.18,2045.78,2,2,0,3,0,0,1,0,1,1
24,101.72,2176.91,5,2,0,3,2,1,2,0,1,1
3,21.37,58.69,1,2,0,0,1,0,2,1,1,1
22,109.57,2466.83,4,1,1,3,2,0,1,1,1,1
53,22.89,1055.1,2,2,0,0,2,0,1,1,1,1
2,43.96,86.19,5,0,1,0,2,3,2,0,1,1
30,23.24,620.88,2,3,0,3,1,2,1,0,1,1
38,53.58,1897.34,1,3,0,1,2,2,2,0,0,0
2,71.39,129.53,4,3,2,0,0,2,0,1,1,0
64,99.66,7111.37,2,3,0,2,0,0,1,0,1,1
60,53.8,3429.32,1,1,1,1,3,1,2,0,0,0
21,90.55,2111.72,3,1,1,1,2,0,1,0,1,0
33,38.75,1234.06,2,2,1,1,2,0,1,1,1,1
58,95.06,5204.85,4,2,1,1,1,2,1,0,1,0
22,43.6,924.83,2,0,1,0,1,2,2,1,1,0
49,34.35,1440.23,2,0,1,0,2,3,1,1,1,0
59,38.54,2427.2,1,0,0,0,1,0,1,0,1,0
42,38.21,1532.35,5,2,0,2,2,3,2,1,0,0
60,71.29,4037.64,5,1,2,0,2,3,1,1,0,0
15,104.48,1613.34,2,3,2,0,3,3,1,1,0,0
62,27.96,1700.4,4,1,0,2,2,2,1,1,0,0
62,90.7,6434.28,4,2,0,0,1,3,0,1,1,0
47,85.43,3842.27,1,3,0,3,2,0,1,1,0,1
62,107.25,6876.83,2,1,1,3,2,3,1,1,1,0
51,44.41,2137.16,2,4,0,0,3,2,1,0,1,1
55,65.01,4101.86,5,1,1,1,2,0,1,1,0,0
64,112.58,7086.65,1,2,2,0,3,0,1,0,0,0
3,86.0,268.38,3,1,2,2,0,1,2,1,1,0
51,58.88,2666.46,4,4,0,1,2,2,1,1,1,0
7,33.14,248.21,4,4,2,2,0,1,0,0,0,1
21,46.25,903.97,2,0,1,3,2,2,0,0,1,0
39,78.12,2999.77,1,3,0,2,2,2,1,1,1,0
18,91.82,1842.66,3,1,0,0,0,2,1,0,1,0
4,32.44,148.09,4,2,1,3,2,1,1,1,1,1
60,79.96,4689.02,1,0,2,1,0,3,0,1,1,0
14,75.04,1156.0,3,2,0,0,0,2,1,1,1,0
9,71.4,556.46,2,3,0,3,1,0,0,0,0,1
53,89.01,5209.57,5,0,0,1,1,0,0,1,1,1
2,103.74,215.55,4,4,2,3,0,2,2,1,1,1
60,52.3,3127.31,4,0,2,1,0,2,2,0,0,0
71,108.9,8636.54,3,6,0,1,1,2,2,1,1,0
44,36.06,1751.18,5,4,0,2,0,3,0,1,1,0
8,37.3,280.24,1,7,2,0,1,2,1,0,0,1
47,46.68,2385.67,2,0,1,1,2,3,1,0,0,0
35,31.95,983.98,1,2,2,1,2,3,2,1,0,1
36,43.03,1699.15,3,0,2,2,3,2,1,0,1,0
50,30.64,1612.7,4,1,0,1,0,2,1,1,1,0
4,102.18,358.17,4,2,1,1,3,3,0,0,0,1
2,33.9,71.52,1,2,0,3,1,1,1,0,1,1
6,94.73,582.11,2,2,2,0,1,3,2,1,1,0
54,24.79,1376.71,3,1,1,2,1,0,1,1,0,0
4,114.85,430.58,2,4,2,2,0,2,0,0,0,1
54,91.12,4575.6,3,2,2,1,1,1,1,1,0,0
63,20.68,1405.43,2,3,0,1,2,1,2,1,0,0
18,96.39,1608.37,1,2,0,2,3,2,0,0,0,1
44,71.41,3091.31,5,3,0,1,3,1,1,0,0,0
34,97.94,3524.43,3,1,2,1,2,0,2,1,0,0
62,72.25,3914.55,1,2,2,3,2,2,1,0,1,0
14,84.1,1210.83,4,5,2,2,1,3,0,0,1,1
48,98.63,4861.33,4,3,1,1,3,2,1,1,1,0
15,60.51,957.83,2,2,0,0,2,0,0,1,1,0
62,20.27,1207.75,4,0,0,1,1,1,0,1,0,0
40,104.99,4135.5,5,1,0,3,2,2,0,1,0,1
53,58.09,2921.68,3,2,1,3,1,0,0,0,1,0
24,69.6,1824.94,2,4,2,2,2,3,2,1,0,1
26,20.78,480.33,3,1,0,3,3,0,2,0,0,0
60,69.21,4729.28,3,5,2,3,2,2,1,1,0,0
41,118.65,5061.38,1,3,0,0,3,0,2,0,1,0
29,47.83,1547.97,4,2,0,3,3,3,2,0,1,0
