tenure,monthly_charges,total_charges,num_products,support_calls,contract_type,payment_method,age_group,region,internet_service,online_backup,tech_support,churn,charges_per_tenure,high_support,churn_score,score_band,prediction,prediction_label,model_version,model_hash,scored_at
52,29.06,1709.03,3,3,0,0,1,1,1,0,1,1,0.5483018867924528,0,0.345202,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
15,86.8,1140.86,4,2,0,0,2,0,2,1,0,1,5.425,0,0.727069,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
61,33.33,2068.61,5,4,1,0,1,3,2,0,0,1,0.5375806451612903,1,0.18443,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
21,105.18,2045.78,2,2,0,3,0,0,1,0,1,1,4.780909090909091,0,0.847585,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
24,101.72,2176.91,5,2,0,3,2,1,2,0,1,1,4.0687999999999995,0,0.754422,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
3,21.37,58.69,1,2,0,0,1,0,2,1,1,1,5.3425,0,0.781621,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
22,109.57,2466.83,4,1,1,3,2,0,1,1,1,1,4.763913043478261,0,0.623115,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
53,22.89,1055.1,2,2,0,0,2,0,1,1,1,1,0.4238888888888889,0,0.223186,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
2,43.96,86.19,5,0,1,0,2,3,2,0,1,1,14.653333333333334,0,0.536755,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
30,23.24,620.88,2,3,0,3,1,2,1,0,1,1,0.7496774193548387,0,0.431869,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
38,53.58,1897.34,1,3,0,1,2,2,2,0,0,0,1.3738461538461537,0,0.609235,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
2,71.39,129.53,4,3,2,0,0,2,0,1,1,0,23.796666666666667,0,0.642711,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
64,99.66,7111.37,2,3,0,2,0,0,1,0,1,1,1.5332307692307692,0,0.536066,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
60,53.8,3429.32,1,1,1,1,3,1,2,0,0,0,0.881967213114754,0,0.078775,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
21,90.55,2111.72,3,1,1,1,2,0,1,0,1,0,4.115909090909091,0,0.466573,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
33,38.75,1234.06,2,2,1,1,2,0,1,1,1,1,1.1397058823529411,0,0.193569,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
58,95.06,5204.85,4,2,1,1,1,2,1,0,1,0,1.6111864406779661,0,0.259191,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
22,43.6,924.83,2,0,1,0,1,2,2,1,1,0,1.8956521739130436,0,0.322381,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
49,34.35,1440.23,2,0,1,0,2,3,1,1,1,0,0.687,0,0.119056,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
