age,annual_income,spending_score,num_purchases,account_balance,tenure_months,support_calls,region,noise_feature1,noise_feature2,true_segment
43.1,58680.0,22.2,14,22869.2,92,3,3,0.854,17.145,1
38.2,33986.0,81.0,21,2395.9,39,3,2,1.305,50.933,3
57.1,58037.0,32.7,5,6719.68,71,3,1,-0.246,76.555,2
58.9,70862.0,69.1,9,7420.53,80,2,3,-0.77,6.514,2
29.8,24923.0,64.5,6,503.72,13,4,3,-0.184,85.613,0
26.0,37289.0,76.5,4,578.17,29,2,0,1.358,35.179,0
23.5,28216.0,87.1,5,385.86,110,1,2,0.64,96.724,0
38.8,52405.0,71.8,22,3642.88,22,2,2,-0.336,82.269,3
52.2,62124.0,57.2,10,10464.36,48,2,3,-0.322,75.802,2
52.0,47123.0,47.3,7,7822.79,38,5,2,-0.076,15.813,2
20.9,30386.0,71.6,5,554.38,100,1,1,-2.297,50.139,0
31.5,31415.0,79.8,23,2828.05,66,1,2,-0.979,34.241,3
29.8,49924.0,71.2,16,4517.19,56,7,0,-0.612,79.632,3
29.5,20808.0,78.5,7,333.3,100,3,0,-1.221,33.1,0
22.5,21650.0,69.8,6,887.91,78,2,1,0.196,68.148,0
31.1,33981.0,70.1,4,887.45,28,2,2,-1.01,44.863,0
46.8,70452.0,46.9,7,16092.86,13,1,0,-0.917,76.741,1
56.9,70677.0,34.6,10,5804.85,114,1,2,-0.187,16.338,2
37.6,58861.0,31.4,12,18714.12,68,0,0,-0.427,30.625,1
47.9,49287.0,17.5,9,16327.93,80,1,2,0.605,13.955,1
53.1,56221.0,86.7,4,8531.02,2,3,2,-0.22,57.28,2
22.8,24156.0,67.4,7,469.29,44,1,1,-0.811,36.22,0
34.5,78067.0,27.1,14,14405.59,49,3,1,0.459,78.491,1
39.7,85287.0,14.1,7,16204.02,110,4,2,0.339,27.873,1
42.2,50804.0,38.0,8,20193.89,99,3,1,-1.429,60.487,1
24.9,51073.0,86.1,27,2909.64,20,3,3,-1.754,54.054,3
23.6,25098.0,83.7,2,358.56,18,2,1,0.222,71.384,0
50.4,38430.0,50.6,5,12761.59,8,3,2,-1.48,73.022,2
59.0,70525.0,79.7,8,11915.33,23,1,1,-0.061,91.211,2
26.0,32266.0,80.3,6,442.45,118,0,2,-1.334,59.033,0
55.5,43369.0,54.5,8,5913.45,109,1,3,-0.227,70.739,2
21.2,26660.0,64.1,7,860.92,47,1,0,0.338,96.444,0
26.4,36315.0,65.1,3,553.53,51,3,2,1.379,71.371,0
26.5,32985.0,75.5,20,2113.22,87,3,2,-0.833,98.788,3
33.8,53846.0,91.8,27,2147.2,25,2,3,-1.317,58.57,3
34.0,42751.0,80.4,28,2641.49,105,1,2,0.217,98.678,3
46.8,78330.0,16.8,11,14785.92,100,2,2,0.937,18.114,1
21.3,25083.0,83.1,6,534.78,3,5,2,-0.772,61.987,0
52.1,60465.0,43.3,9,7407.09,82,4,1,0.566,35.622,2
29.1,92063.0,47.3,8,11695.83,29,3,0,-1.618,60.279,1
18.0,22463.0,77.3,5,340.29,115,2,1,-0.2,5.393,0
40.8,88562.0,31.4,8,21161.52,118,0,3,0.744,31.659,1
19.0,25276.0,85.0,4,294.08,24,2,2,-0.247,1.984,0
20.7,44262.0,74.1,29,3877.0,93,3,2,-0.317,48.724,3
32.9,72457.0,41.0,16,12086.0,118,3,2,0.712,51.618,1
59.5,67054.0,58.4,13,10048.84,76,4,2,-1.477,49.522,2
41.2,75445.0,31.4,13,12729.96,105,1,3,0.45,91.194,1
55.8,61564.0,70.6,7,6158.52,33,1,1,0.581,42.9,2
58.4,69928.0,39.4,9,8696.22,13,1,1,1.133,21.068,2
25.3,29231.0,73.7,3,418.69,14,0,1,-1.966,84.383,0
34.0,47702.0,80.9,17,3450.95,34,2,1,-1.257,93.11,3
30.7,39824.0,84.0,25,1784.57,26,0,1,-0.718,20.88,3
31.2,48440.0,84.8,22,3244.52,55,1,3,0.377,23.313,3
28.5,48451.0,81.4,17,3520.86,54,0,1,-0.865,14.135,3
61.8,44607.0,41.9,6,9778.34,8,1,3,0.251,77.259,2
38.4,37791.0,80.0,23,3669.49,92,2,0,-0.218,89.269,3
19.8,29875.0,83.3,5,465.31,102,4,3,1.656,80.606,0
28.3,21597.0,79.2,5,455.02,7,2,3,0.871,39.723,0
28.2,23730.0,67.5,4,469.05,52,1,3,1.544,16.883,0
45.6,75200.0,16.4,13,18509.32,93,2,1,1.263,95.042,1
37.4,53074.0,17.0,4,6488.45,93,2,2,-0.31,29.665,1
37.4,60349.0,17.0,12,12527.63,94,3,3,0.694,91.587,1
37.4,38184.0,74.8,15,2236.4,62,0,2,-0.817,71.779,3
44.4,62489.0,44.9,12,19128.43,107,3,2,0.518,91.943,1
36.5,68414.0,21.5,11,14765.49,57,4,3,-1.147,67.629,1
56.5,58475.0,56.4,5,7517.28,106,2,1,1.727,17.482,2
27.2,19291.0,76.3,5,726.64,109,1,3,-0.43,45.774,0
31.9,54735.0,68.7,17,2643.91,32,1,1,0.966,14.55,3
26.6,32853.0,81.6,8,509.84,83,0,0,-0.139,22.062,0
40.0,40710.0,89.2,19,1873.5,54,3,2,1.149,34.912,3
36.1,60983.0,89.3,21,2812.17,114,1,3,-0.045,14.834,3
29.7,23489.0,70.1,7,519.86,70,1,2,0.356,30.549,0
24.1,26692.0,79.4,5,856.44,43,2,3,-0.263,9.535,0
32.9,46112.0,84.5,24,1964.89,106,3,0,0.544,4.817,3
58.1,64680.0,47.3,6,9360.08,108,1,2,-1.187,15.092,2
54.8,78388.0,64.5,10,10409.6,41,1,3,2.327,21.291,2
18.0,59517.0,74.1,15,2224.98,38,1,3,-0.07,27.652,3
24.8,23959.0,76.7,6,445.41,71,1,2,0.111,61.022,0
36.1,92000.0,16.7,11,16967.63,18,2,3,-0.834,20.947,1
23.7,33219.0,71.0,6,611.79,95,4,0,-0.117,88.083,0
33.4,54519.0,93.9,34,2369.15,69,5,0,0.859,7.796,3
54.6,57524.0,53.7,7,8221.35,60,1,2,0.288,77.829,2
40.5,98014.0,18.6,15,14315.45,70,2,0,0.988,79.628,1
24.3,29220.0,70.2,2,562.65,83,1,0,-0.655,36.506,0
43.4,63367.0,13.7,11,10885.2,42,2,1,-0.101,62.833,1
36.9,71756.0,16.5,11,5113.38,36,0,3,-1.11,59.438,1
55.8,49288.0,49.2,6,6549.83,78,2,1,0.922,90.326,2
56.0,42173.0,46.1,4,6946.09,74,1,3,-1.218,97.607,2
37.2,60097.0,84.7,23,3809.38,48,0,3,-0.816,32.033,3
39.7,58048.0,37.4,15,14054.37,104,1,3,1.673,51.271,1
32.0,34280.0,73.3,4,564.58,28,1,0,1.137,13.369,0
62.0,72650.0,47.8,6,10856.89,51,2,1,-0.682,75.307,2
31.7,52483.0,81.0,25,3723.73,40,3,2,2.105,93.087,3
48.4,41309.0,47.3,6,10573.62,10,0,2,1.971,11.437,2
26.7,62016.0,68.8,21,3511.73,21,1,3,0.528,75.332,3
38.9,89668.0,33.9,11,20648.96,3,4,2,1.26,50.059,1
58.3,41247.0,52.9,10,11561.66,12,1,3,-0.739,96.767,2
48.8,73378.0,23.2,12,16436.21,69,2,1,-1.351,8.637,1
21.9,28825.0,74.7,7,147.97,26,4,2,-0.9,87.886,0
22.2,33660.0,64.1,6,310.53,27,2,1,-0.79,57.536,0
21.3,27159.0,71.1,4,1057.48,10,2,0,0.026,58.991,0
57.3,57630.0,32.2,9,6047.36,114,2,0,-0.718,10.021,2
48.5,89796.0,37.8,22,21174.34,38,0,3,0.014,28.585,1
51.9,48378.0,53.5,9,8031.56,77,2,3,-0.407,30.189,2
49.6,40169.0,72.6,25,2211.77,90,1,0,1.359,18.077,3
30.9,17018.0,93.9,4,483.52,48,1,1,-0.531,29.735,0
36.9,57940.0,33.3,14,11533.98,27,1,1,1.906,20.855,1
40.0,47250.0,76.2,21,3273.72,117,0,3,-0.46,54.417,3
27.0,30232.0,94.3,8,173.7,64,1,2,-0.272,34.489,0
26.9,24799.0,76.4,10,873.98,105,2,1,0.537,45.441,0
39.8,66332.0,33.6,12,11724.43,47,0,3,1.672,40.141,1
28.0,30472.0,75.9,7,317.7,8,4,0,-1.091,37.315,0
31.5,54132.0,65.4,22,3354.14,87,3,2,0.493,1.971,3
25.9,55854.0,75.0,15,2325.74,104,1,0,-0.832,63.351,3
59.9,37019.0,30.6,7,8526.41,64,3,3,0.394,66.635,2
34.2,37467.0,80.7,23,2898.85,118,3,0,1.225,70.382,3
33.0,44351.0,63.6,16,4317.75,85,2,0,1.025,75.053,3
25.2,28159.0,66.2,4,488.45,56,1,2,-1.514,69.469,0
33.5,52992.0,99.8,22,2862.65,65,2,3,-0.311,44.264,3
52.2,53589.0,41.6,6,7952.3,2,2,1,0.489,25.499,2
42.7,52701.0,84.8,16,1514.15,89,2,2,0.388,52.255,3
34.3,57325.0,74.8,16,2891.71,119,4,2,0.615,99.319,3
38.1,56903.0,31.8,10,17334.24,40,5,0,-0.201,26.636,1
19.5,27177.0,78.2,7,399.68,12,4,0,-1.098,50.469,0
26.2,23714.0,92.1,3,273.74,44,2,2,-0.295,30.82,0
48.2,106047.0,7.5,12,15277.4,37,2,0,0.774,37.49,1
