transaction_id,age,income,credit_limit,transaction_amount,num_transactions_30d,account_age_months,num_prev_disputes,merchant_category,country_match,time_of_day_hour,is_weekend,card_present,distance_from_home_km,dispute_reason,is_fraud
TXN000000,59,85500,41581,2166,63,31,4,retail,1,12,1,1,7,none,0
TXN000001,72,78394,21401,2604,57,93,3,retail,1,0,0,1,42,none,1
TXN000002,49,45079,10130,671,51,9,2,food,1,7,0,1,66,none,0
TXN000003,35,61220,18516,2482,56,15,3,online,1,4,0,1,38,none,1
TXN000004,63,66874,18444,2687,27,94,4,retail,1,5,0,1,21,none,0
TXN000005,28,38859,5528,2318,32,154,0,food,1,22,0,1,190,none,0
TXN000006,41,75460,26888,96,9,138,1,electronics,1,19,0,1,60,none,0
TXN000007,59,56419,10517,2522,68,29,2,online,0,13,0,1,89,none,1
TXN000008,39,143865,50041,2952,46,80,4,electronics,1,21,1,0,2,none,0
TXN000009,43,33705,12136,2783,67,36,2,retail,1,22,0,1,13,none,0
TXN000010,31,67880,10915,2514,26,84,3,online,1,10,0,1,23,none,1
TXN000011,31,48236,6007,3320,8,109,2,food,1,5,1,1,10,none,0
TXN000012,44,112955,46571,1710,6,118,4,retail,1,10,0,1,3,none,0
TXN000013,73,110514,31377,3680,24,37,1,online,1,12,0,1,12,none,1
TXN000014,56,128145,15795,2710,48,86,1,online,1,11,1,1,38,none,0
TXN000015,60,40358,20096,3639,45,71,2,electronics,1,21,0,1,59,none,0
TXN000016,44,124713,15353,4600,13,151,0,retail,1,1,0,1,74,none,1
TXN000017,23,119914,45329,1657,69,169,2,food,1,20,0,1,2,none,0
TXN000018,42,127870,63100,3328,25,232,3,food,1,2,0,1,27,none,1
TXN000019,73,101918,19942,3697,20,93,1,retail,1,22,0,1,6,none,0
TXN000020,22,144179,22621,606,66,80,1,retail,1,3,1,1,28,none,0
TXN000021,44,141243,20982,4555,74,102,1,travel,1,16,0,1,28,none,0
TXN000022,64,39596,8762,494,45,156,0,electronics,1,21,0,1,34,fraud_claimed,0
