age,income,credit_limit,transaction_amount,num_transactions_30d,account_age_months,num_prev_disputes,merchant_category,country_match,time_of_day_hour,is_weekend,card_present,distance_from_home_km,is_fraud
59,85500,41581,2166,63,31,4,retail,1,12,1,1,7,0
72,78394,21401,2604,57,93,3,retail,1,0,0,1,42,1
49,45079,10130,671,51,9,2,food,1,7,0,1,66,0
35,61220,18516,2482,56,15,3,online,1,4,0,1,38,1
63,66874,18444,2687,27,94,4,retail,1,5,0,1,21,0
28,38859,5528,2318,32,154,0,food,1,22,0,1,190,0
41,75460,26888,96,9,138,1,electronics,1,19,0,1,60,0
59,56419,10517,2522,68,29,2,online,0,13,0,1,89,0
39,143865,50041,2952,46,80,4,electronics,1,21,1,0,2,1
43,33705,12136,2783,67,36,2,retail,1,22,0,1,13,0
31,67880,10915,2514,26,84,3,online,1,10,0,1,23,0
31,48236,6007,3320,8,109,2,food,1,5,1,1,10,0
44,112955,46571,1710,6,118,4,retail,1,10,0,1,3,0
73,110514,31377,3680,24,37,1,online,1,12,0,1,12,0
56,128145,15795,2710,48,86,1,online,1,11,1,1,38,0
60,40358,20096,3639,45,71,2,electronics,1,21,0,1,59,0
44,124713,15353,4600,13,151,0,retail,1,1,0,1,74,1
23,119914,45329,1657,69,169,2,food,1,20,0,1,2,0
42,127870,63100,3328,25,232,3,food,1,2,0,1,27,1
73,101918,19942,3697,20,93,1,retail,1,22,0,1,6,0
22,144179,22621,606,66,80,1,retail,1,3,1,1,28,0
44,141243,20982,4555,74,102,1,travel,1,16,0,1,28,0
64,39596,8762,494,45,156,0,electronics,1,21,0,1,34,0
50,58572,8224,655,47,176,0,retail,1,5,0,1,111,0
58,103757,39102,3099,63,166,4,retail,1,6,1,0,81,0
22,26279,3282,4767,76,159,2,travel,1,14,1,1,50,0
41,88197,26791,4863,77,14,2,travel,1,10,0,1,108,0
53,136496,68067,4394,55,117,3,online,1,23,1,1,56,0
32,87516,37245,730,75,225,1,food,1,2,1,1,85,0
42,32083,11103,4743,19,73,0,electronics,1,5,0,1,41,0
