age,income,credit_limit,transaction_amount,num_transactions_30d,account_age_months,num_prev_disputes,merchant_category,country_match,time_of_day_hour,is_weekend,card_present,distance_from_home_km,is_fraud
59.0,121894.0,60831.094518204154,2074.0,77,95,4,travel,1,1,0,0,9.232621936865014,1
72.0,149302.0,26344.76122783888,2384.0,51,13,1,travel,1,16,0,0,70.80506652616347,0
49.0,39289.0,11152.588421441977,327.0,50,28,4,electronics,1,19,0,1,2.5968245732579103,0
35.0,140359.0,38232.88779588186,1512.0,19,84,0,travel,1,3,1,1,40.314109032701744,0
63.0,32927.0,7303.110250329882,2052.0,1,225,3,travel,1,12,0,1,17.47263534854264,1
,73330.0,13143.537696439536,4608.0,40,208,4,online,1,17,0,1,7.1744833956537635,1
41.0,91707.0,11580.470770766871,2032.0,32,62,1,food,1,2,1,1,73.88063261877117,1
59.0,145279.0,66079.82291477667,128.0,22,93,3,online,1,18,1,0,12.257754005673142,0
39.0,,13396.973953726354,719.0,66,87,1,electronics,1,4,0,1,12.659215259826226,1
43.0,132439.0,39567.238229851195,3567.0,40,24,2,travel,1,0,0,0,16.08447701357226,0
31.0,129646.0,60515.747512422386,4150.0,38,98,1,food,1,8,0,0,44.18715544654332,0
31.0,,20525.809550318958,4419.0,48,7,3,travel,1,23,0,1,53.89137949556337,1
44.0,75601.0,11506.5104274093,3260.0,55,166,2,travel,1,7,0,1,0.8879645253397104,0
73.0,102465.0,33420.80279237093,427.0,75,37,3,electronics,1,2,0,1,13.84499620542875,0
56.0,27539.0,7625.574177228855,2613.0,55,68,3,travel,0,1,0,1,28.19118013842492,0
60.0,127263.0,53308.48909183644,3864.0,51,226,2,retail,1,0,0,1,20.17163016440263,1
44.0,136487.0,53188.03109036485,1111.0,60,170,1,food,1,11,0,0,107.78186826018555,0
23.0,47669.0,17931.28014311156,4431.0,8,86,0,food,1,21,0,1,77.48980181745075,0
42.0,95968.0,22669.3627085339,3438.0,68,133,0,retail,1,12,0,1,49.16029916512008,0
73.0,45644.0,19261.10580413743,2271.0,75,192,0,electronics,1,9,0,1,20.62768988004703,0
22.0,43745.0,5291.242890318882,4179.0,72,178,0,travel,1,16,0,1,60.31082344736055,0
44.0,145852.0,23897.84444947378,3644.0,9,234,4,travel,1,10,0,1,92.77907646491236,1
64.0,53228.0,12468.622229627315,518.0,2,87,0,food,1,4,0,1,45.172473911046865,0
50.0,143358.0,18740.18445472401,2389.0,70,15,2,electronics,1,8,0,0,76.73077887516054,0
58.0,59521.0,11546.937757256952,3174.0,59,223,0,electronics,1,12,0,1,69.1360300108194,0
22.0,147788.0,63853.34139011853,697.0,19,123,3,electronics,1,19,1,1,42.40092563510679,0
41.0,122239.0,58589.2278911686,4762.0,28,201,0,travel,1,22,1,1,18.711639001675508,0
53.0,51928.0,11519.756452256866,1302.0,72,107,1,electronics,1,10,0,1,68.4781866933606,0
32.0,43322.0,8915.94146416178,3915.0,14,181,2,retail,1,22,1,1,11.583765067778492,1
42.0,82714.0,17531.81633516438,3085.0,24,153,2,online,1,3,0,1,75.59023675112692,0
64.0,112896.0,23830.949634224347,3219.0,44,89,4,electronics,1,20,0,1,81.62168812854375,0
45.0,87292.0,9983.766985351183,334.0,56,125,3,online,1,10,1,1,86.33929951408483,0
69.0,,23538.32692662216,2003.0,51,113,2,travel,1,8,0,1,32.01976476462596,0
47.0,67891.0,12592.372211740467,,32,213,1,electronics,1,6,0,1,10.689420358318598,0
62.0,106912.0,28652.590227276472,4822.0,50,137,0,food,1,15,0,1,5.252672588453328,0
48.0,31588.0,3281.195700808676,2780.0,41,166,2,travel,1,22,0,0,68.00429134264847,1
36.0,115536.0,51203.47975358483,4382.0,66,150,1,retail,1,22,0,1,108.6926154969185,0
35.0,31304.0,12285.659804326693,2593.0,25,107,0,retail,1,4,0,1,52.611015440393075,1
67.0,32345.0,15483.629583077374,3567.0,61,87,4,online,1,5,0,1,7.7835953379774585,1
71.0,54300.0,22406.688208145788,3597.0,66,177,2,online,1,18,0,1,136.58880884970537,1
64.0,,11274.130241041305,161.0,42,68,2,food,1,0,0,1,225.95886634747217,0
72.0,116006.0,23102.51874105981,964.0,65,221,1,food,1,15,1,1,28.403197034163075,0
23.0,113553.0,43046.41194863963,4364.0,36,15,3,retail,1,17,1,1,45.17184601929689,0
57.0,40352.0,9912.27147888947,2381.0,76,65,4,electronics,1,23,0,0,75.08043931556983,1
71.0,58365.0,19055.355757760586,4974.0,9,54,3,retail,1,12,0,1,66.66418721825245,0
27.0,44446.0,4555.847822896999,1201.0,36,158,2,retail,1,0,1,0,171.76955697388823,0
41.0,27336.0,3410.2830164549887,697.0,38,93,3,food,0,9,0,1,6.101777111138118,1
29.0,87032.0,27340.857062768588,319.0,33,20,0,online,1,6,0,1,43.46139652528949,0
59.0,100415.0,32778.333751237,1512.0,42,33,4,food,1,4,0,0,58.871642869766326,0
38.0,122852.0,49212.19885308771,3137.0,61,233,3,food,1,12,1,0,,1
24.0,123876.0,18926.534373495153,4578.0,46,236,0,food,1,21,0,1,103.6171906004404,0
45.0,32521.0,9927.79082674168,3377.0,61,100,1,retail,1,15,0,1,190.8351721045059,0
34.0,96707.0,17192.479340022124,3405.0,18,214,3,electronics,1,23,0,1,35.88003261595035,0
70.0,48481.0,6655.396429007601,823.0,70,77,4,retail,1,19,0,1,88.82212874710865,0
29.0,43474.0,11485.75766039542,855.0,15,135,0,travel,1,21,0,1,27.868066019053416,0
46.0,71760.0,11864.415146748299,1174.0,48,136,3,food,1,13,0,1,27.436229954174284,0
73.0,80718.0,15232.51908629103,4772.0,72,156,1,food,1,10,0,0,14.607827699711425,1
22.0,69629.0,15807.303136693416,1777.0,13,173,3,travel,1,18,0,1,85.2526608695067,0
40.0,70232.0,14310.146464398464,364.0,43,107,0,food,1,22,0,1,212.77888351424826,0
48.0,111544.0,15062.513471139555,1882.0,60,201,3,food,0,1,1,0,14.808683097997491,1
67.0,92169.0,12531.896148989563,2034.0,57,217,4,food,1,7,1,1,2.8884258321507232,0
27.0,75669.0,13416.09600054171,2827.0,71,120,2,travel,0,12,0,1,84.51679275348893,0
64.0,103021.0,12385.563241111866,3842.0,17,208,0,retail,1,6,0,1,48.409480549919316,0
28.0,134153.0,47031.73542428753,4285.0,50,74,0,food,1,11,0,1,160.56870237350188,0
67.0,94184.0,20243.03178706977,75.0,32,11,0,electronics,1,7,0,1,14.533608187924957,0
55.0,72945.0,15456.927847565956,4925.0,22,31,0,travel,1,15,1,1,3.6838156205249093,0
34.0,38140.0,8878.965976891346,4276.0,55,12,3,online,1,17,0,1,33.907240142304005,0
37.0,108457.0,39599.65820478552,4100.0,57,124,4,travel,0,18,0,1,4.467032908370986,1
56.0,39357.0,17641.915069418297,2531.0,13,223,1,retail,1,3,1,1,15.176347175368853,1
70.0,136672.0,55165.57169849768,2591.0,47,78,4,travel,1,11,1,1,6.732478638845292,1
60.0,93673.0,36627.238233150136,1400.0,62,179,0,online,1,15,0,0,12.68865539605048,0
24.0,146673.0,43086.14334625334,1140.0,54,172,3,electronics,1,20,0,1,5.610566047554221,0
22.0,90633.0,34215.97161785097,2496.0,29,96,3,online,1,21,0,1,153.85362384344552,1
26.0,101943.0,32734.40163377903,844.0,22,50,0,travel,1,16,1,1,16.325491273715432,0
74.0,121111.0,22587.227087679483,236.0,65,117,3,online,1,3,1,1,29.340140191939927,1
62.0,103258.0,18941.167070482166,3525.0,29,17,0,travel,0,19,0,1,114.43993203511474,0
24.0,37924.0,8288.5481874953,4547.0,48,163,4,electronics,1,23,0,1,56.5549540045162,1
74.0,94286.0,43778.976254023924,2453.0,5,129,2,electronics,1,23,0,0,48.12163959215876,0
49.0,118269.0,37723.782302747924,737.0,35,157,3,retail,1,21,0,1,61.13454336008179,0
38.0,,19678.10754003739,3696.0,74,179,0,electronics,1,23,0,1,88.25264150913684,0
,82326.0,19644.91858426284,3632.0,71,64,0,food,1,8,0,0,105.05134914575764,0
64.0,115023.0,30260.976435690485,1046.0,46,132,3,online,1,4,0,1,51.4505340180546,0
54.0,145101.0,21797.976410337524,1842.0,35,87,1,online,1,16,1,1,110.36705244794926,0
30.0,55651.0,9378.194279093512,2750.0,45,156,0,travel,1,16,0,1,38.32865683587044,0
