age,income,credit_limit,transaction_amount,num_transactions_30d,account_age_months,num_prev_disputes,merchant_category,country_match,time_of_day_hour,is_weekend,card_present,distance_from_home_km,is_fraud
59.0,40649.0,6903.661145338752,1398.0,25,226,0,food,1,7,0,1,1.8874897404760747,0
72.0,62713.0,24017.22959769211,411.0,60,14,1,online,1,6,0,1,38.81781001868707,0
49.0,98463.0,37879.81671905754,2663.0,79,187,0,travel,1,9,0,1,29.886274179508852,0
35.0,70409.0,32341.818627712062,4334.0,24,81,0,electronics,1,7,0,0,13.883206949363597,1
63.0,73766.0,24569.570514698145,3933.0,15,3,1,electronics,1,23,0,0,50.77279061999464,0
28.0,71154.0,10647.694256922447,277.0,14,98,3,online,1,16,1,0,8.933760212597159,0
41.0,32016.0,4756.4878458588755,4231.0,54,40,0,food,1,11,1,1,16.694312869518026,1
59.0,104563.0,40617.80507292062,1735.0,78,89,0,travel,1,13,0,1,76.10739729450655,0
39.0,73688.0,12785.889760988408,1122.0,6,125,0,food,1,11,1,1,30.847445589475562,0
43.0,114678.0,26531.23693001323,2685.0,78,194,3,retail,0,1,1,1,253.12786235413247,1
31.0,,17693.088166125937,4794.0,18,162,2,food,1,11,0,1,24.425551508035078,0
31.0,79238.0,8708.727747751627,1290.0,20,218,4,retail,1,13,0,1,31.1121729648458,1
44.0,83608.0,16682.104484432988,1242.0,62,95,4,electronics,1,6,0,1,,0
73.0,114081.0,30021.08177124761,4386.0,40,9,3,travel,1,12,1,0,13.478593248773214,1
56.0,141572.0,29992.66915268808,4548.0,39,94,0,retail,1,20,1,0,,0
60.0,56897.0,8793.32500876884,1873.0,52,84,4,food,1,3,0,0,69.08059507399132,0
44.0,75961.0,29716.315645782783,4942.0,32,21,3,food,1,0,0,1,20.27844558988505,1
23.0,93703.0,39848.04989288228,4494.0,73,221,1,electronics,1,16,1,0,60.22464525203082,0
42.0,69757.0,14160.084375543125,626.0,27,25,4,online,1,2,0,1,168.7527307159913,1
73.0,51917.0,21273.91476059018,156.0,52,102,1,,1,16,0,1,3.846642219834357,0
22.0,47736.0,12135.513980104446,4626.0,63,122,0,food,1,7,0,1,15.360536361311416,0
44.0,52990.0,16038.712022941445,4735.0,74,172,4,online,1,2,0,1,11.193349971672875,1
64.0,87551.0,38732.60004318817,3687.0,63,25,3,travel,1,9,0,0,101.92771230404061,0
50.0,83161.0,33262.859252948016,298.0,17,137,2,online,1,1,0,1,9.873201144977681,0
58.0,104623.0,44155.79613410098,1419.0,49,103,4,travel,1,21,0,1,18.413957509476234,0
22.0,47440.0,7340.773881142707,23.0,23,190,4,food,1,3,1,1,39.2478597207909,0
,60205.0,7699.483212927874,266.0,72,236,4,food,0,13,0,0,48.52340321137755,1
