threshold,TP,TN,FP,FN,precision,recall,f1,accuracy
0.1,79,67,152,2,0.342,0.9753,0.5064,0.4867
0.15,76,110,109,5,0.4108,0.9383,0.5714,0.62
0.2,71,135,84,10,0.4581,0.8765,0.6017,0.6867
0.25,60,163,56,21,0.5172,0.7407,0.6091,0.7433
0.3,52,173,46,29,0.5306,0.642,0.581,0.75
0.35,50,183,36,31,0.5814,0.6173,0.5988,0.7767
0.4,43,194,25,38,0.6324,0.5309,0.5772,0.79
0.45,40,201,18,41,0.6897,0.4938,0.5755,0.8033
0.5,34,206,13,47,0.7234,0.4198,0.5312,0.8
0.55,28,209,10,53,0.7368,0.3457,0.4706,0.79
0.6,24,209,10,57,0.7059,0.2963,0.4174,0.7767
0.65,14,214,5,67,0.7368,0.1728,0.28,0.76
0.7,10,216,3,71,0.7692,0.1235,0.2128,0.7533
0.75,5,217,2,76,0.7143,0.0617,0.1136,0.74
0.8,0,218,1,81,0.0,0.0,0.0,0.7267
0.85,0,219,0,81,0.0,0.0,0.0,0.73
0.9,0,219,0,81,0.0,0.0,0.0,0.73
