age,income,monthly_expense,credit_score,loan_amount,loan_tenure_months,num_existing_loans,num_late_payments,employment_type,education,years_employed,num_dependents,loan_default
60,140133.0,110412.98020427968,323,8883,48,2,6,contract,bachelors,11.0,3,1
50,101709.0,53999.01515613772,398,16695,48,4,6,salaried,bachelors,8.0,1,1
36,79889.0,45799.76734259772,705,28123,24,1,4,salaried,high_school,2.0,4,0
64,46987.0,37792.495810349035,655,63481,48,4,7,self_employed,masters,14.0,3,1
29,98714.0,71761.10600863011,438,78438,60,3,9,salaried,phd,11.0,3,1
42,124874.0,46425.11817045309,802,22573,24,0,5,salaried,bachelors,25.0,0,0
60,78348.0,47869.13799217227,473,61494,24,3,4,salaried,bachelors,14.0,1,1
40,44596.0,24226.275388016446,328,17288,48,3,3,self_employed,high_school,25.0,0,1
44,,,795,51978,36,2,6,self_employed,bachelors,0.0,3,0
32,84106.0,58733.56645719783,650,77420,12,1,3,salaried,high_school,14.0,3,0
32,127510.0,86671.49848048444,598,59672,36,0,4,salaried,bachelors,10.0,0,1
45,89967.0,43840.888467490935,491,66821,36,4,4,self_employed,masters,4.0,3,1
57,79182.0,58810.85095526058,363,74224,24,2,0,contract,bachelors,6.0,2,1
61,113300.0,37254.76358499378,514,59796,24,1,0,contract,bachelors,11.0,4,0
45,107163.0,41557.135821696436,465,49706,24,0,2,salaried,bachelors,19.0,1,0
24,59310.0,28741.19897617597,842,9023,60,3,2,self_employed,bachelors,24.0,4,0
43,76088.0,26040.668516843707,531,41735,60,1,1,self_employed,bachelors,5.0,1,1
23,148803.0,63873.21941399709,840,77959,12,1,1,contract,high_school,21.0,3,1
45,28906.0,21869.7893729958,494,44218,24,1,5,self_employed,masters,2.0,0,1
51,56914.0,46757.03341198151,805,17213,48,3,0,salaried,bachelors,9.0,0,0
59,130350.0,60942.70439134115,633,33460,24,4,5,self_employed,high_school,25.0,3,0
23,65379.0,29125.27831194244,603,69680,60,2,4,salaried,high_school,20.0,1,1
42,98612.0,44764.02582282856,736,36017,24,4,5,salaried,phd,25.0,3,0
54,134828.0,61042.770010136766,622,35990,60,0,4,self_employed,bachelors,21.0,1,0
33,147445.0,47147.24914182593,801,24515,24,2,6,unemployed,phd,29.0,3,1
43,57650.0,46685.200051293614,692,34991,48,0,0,salaried,bachelors,3.0,3,0
46,66881.0,27925.089973500824,448,12634,12,3,2,self_employed,bachelors,12.0,3,1
48,66413.0,35265.45181458259,704,34377,48,4,5,salaried,masters,18.0,0,0
63,26012.0,7942.186356621929,582,38001,60,1,0,contract,high_school,4.0,1,1
49,70115.0,54120.036659730074,661,6391,36,2,6,self_employed,bachelors,22.0,3,0
37,27151.0,19063.709182612503,678,70206,48,1,3,salaried,bachelors,26.0,4,1
36,77716.0,63782.75061625774,497,47215,24,0,2,salaried,masters,21.0,4,0
24,113747.0,83022.62875168405,655,32114,12,1,9,salaried,bachelors,17.0,0,0
58,112653.0,53232.88883621072,839,16882,24,1,8,salaried,bachelors,0.0,2,0
28,56378.0,24599.432320115087,728,22273,24,3,0,salaried,bachelors,20.0,0,0
42,62652.0,42837.9271554559,316,50647,48,3,7,self_employed,bachelors,20.0,2,1
30,92430.0,46239.21908682125,678,69892,12,4,0,salaried,high_school,27.0,0,0
60,33467.0,20462.33486270605,805,47679,36,0,4,self_employed,bachelors,15.0,4,1
39,51010.0,15478.556478383136,375,5427,24,3,9,salaried,bachelors,15.0,3,1
25,148647.0,49653.61814373368,530,71267,12,3,7,self_employed,bachelors,15.0,1,1
46,,,547,5799,36,4,5,salaried,bachelors,27.0,3,0
35,134793.0,82404.27249182813,601,60659,24,2,6,salaried,bachelors,21.0,4,0
30,74691.0,53277.02453103706,514,12025,12,4,7,salaried,bachelors,18.0,1,1
47,84157.0,31355.29297197656,457,19481,48,1,5,salaried,phd,15.0,2,1
23,128177.0,74631.14746968096,368,30411,24,1,5,contract,masters,0.0,2,1
41,32289.0,13139.885995080136,692,19961,24,3,5,self_employed,bachelors,19.0,4,1
49,64976.0,22823.33108558811,384,26767,12,3,4,self_employed,masters,19.0,1,1
28,63596.0,33437.039785491266,566,56690,24,4,7,salaried,phd,9.0,3,1
29,43171.0,16829.57353905898,368,57870,36,4,1,salaried,bachelors,1.0,4,1
56,120441.0,50823.70377950358,646,41135,24,0,6,salaried,bachelors,13.0,2,0
35,146296.0,69440.13064912375,722,69514,60,1,3,self_employed,high_school,7.0,4,0
38,106365.0,47083.91598477754,473,75765,36,4,0,salaried,masters,5.0,3,0
57,138218.0,48124.081669670304,414,28772,12,2,4,salaried,bachelors,27.0,0,1
61,119590.0,41791.196047524485,519,23799,36,0,2,salaried,high_school,2.0,0,0
25,134014.0,54448.1699232555,330,28555,60,4,3,salaried,bachelors,15.0,3,0
23,64139.0,21025.248666095278,822,24333,60,3,6,salaried,masters,16.0,1,0
27,68713.0,44289.05765618338,642,9261,24,4,4,salaried,bachelors,11.0,4,0
63,49734.0,22779.64880536955,676,74002,24,3,3,salaried,masters,26.0,3,1
25,92588.0,42022.01581509151,429,51553,48,3,0,salaried,masters,18.0,0,1
50,83646.0,40367.48112589666,838,8088,36,1,5,salaried,bachelors,23.0,2,0
39,23654.0,15718.980688586216,301,50783,48,1,9,self_employed,bachelors,19.0,3,1
47,109022.0,84911.63586490121,400,6115,60,4,5,salaried,bachelors,2.0,3,1
55,38743.0,27798.017765401702,832,75114,24,4,6,salaried,phd,12.0,3,1
31,68368.0,47867.245126616115,357,73126,24,2,0,salaried,masters,15.0,0,0
57,110025.0,62319.82710765339,688,77908,24,0,3,salaried,phd,10.0,0,0
35,94172.0,64186.98130090431,640,74109,12,0,8,salaried,bachelors,19.0,3,0
52,26441.0,15970.874375246785,319,7978,60,4,9,contract,bachelors,26.0,3,1
36,139735.0,58540.27215587954,554,14422,24,1,5,contract,high_school,,1,1
29,44611.0,18501.234620312807,616,48626,60,2,1,salaried,bachelors,19.0,2,0
35,139891.0,64771.71582858465,337,61174,24,0,3,contract,masters,,4,0
44,127971.0,102497.28073367289,836,42743,36,4,5,salaried,bachelors,3.0,4,0
61,32149.0,19324.061836852296,685,75461,60,1,3,salaried,high_school,26.0,4,1
42,120102.0,84509.52697377319,325,62199,48,1,9,unemployed,high_school,27.0,0,1
37,79189.0,38850.70289711192,753,34430,12,1,6,contract,bachelors,24.0,0,0
39,127904.0,67052.86286214074,622,33834,48,3,2,unemployed,high_school,3.0,1,0
45,41675.0,15380.620019339098,812,29435,60,1,5,salaried,bachelors,27.0,0,1
47,91031.0,35885.53321800546,312,60797,24,4,3,salaried,masters,16.0,3,1
46,62668.0,47317.229317814694,670,48554,60,2,2,salaried,bachelors,0.0,2,0
62,33673.0,20933.19918467285,590,59555,12,4,2,self_employed,bachelors,0.0,2,1
50,149582.0,72643.42972150836,631,19716,60,1,1,salaried,bachelors,29.0,2,0
36,96666.0,71684.42823281989,560,65261,24,2,2,contract,masters,4.0,2,0
22,108204.0,47132.14192830877,504,32528,48,0,9,salaried,high_school,21.0,4,0
46,100758.0,84316.10645505764,686,6995,36,0,0,salaried,phd,11.0,4,0
28,85429.0,41830.28287668114,767,27414,48,4,2,self_employed,bachelors,5.0,3,0
30,,,714,18844,24,2,8,self_employed,bachelors,5.0,1,0
45,54068.0,25495.849099707215,368,41659,24,4,3,salaried,high_school,24.0,0,1
22,108789.0,39943.11433823805,771,20522,12,2,2,unemployed,high_school,16.0,0,0
29,29435.0,10629.727062444781,403,79034,60,2,7,salaried,masters,25.0,4,1
