rank,feature,importance
1,credit_score,0.1669
2,debt_to_income_ratio,0.1131
3,total_debt_burden,0.1002
4,credit_score_band,0.0862
5,num_late_payments,0.08
6,payment_to_income_ratio,0.0753
7,late_payment_rate,0.0681
8,monthly_loan_payment,0.0646
9,expense_ratio,0.0607
10,age,0.0521
11,num_existing_loans,0.0304
12,num_dependents,0.0242
13,employment_stability,0.012
14,employment_type_unemployed,0.0114
15,employment_type_salaried,0.0095
16,education_bachelors,0.0091
17,education_masters,0.0089
18,education_high_school,0.0076
19,employment_type_self_employed,0.0075
20,employment_type_contract,0.0071
