n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,mean_cv_f1,std_cv_f1,rank
300,5,4,log2,15,0.7765189545448681,0.018222602943665962,1
500,10,1,log2,10,0.7764020557101213,0.020891139721919878,2
300,5,4,log2,30,0.775579787788785,0.020120779488237914,3
200,2,1,log2,30,0.7752260400553175,0.021387483352111908,4
500,2,2,log2,30,0.7747939899739841,0.025194310436828404,5
500,2,2,sqrt,,0.7747939899739841,0.025194310436828404,5
200,2,1,sqrt,10,0.7746239194151698,0.02764025914112152,7
300,5,1,log2,,0.7743597023295055,0.021851705139011395,8
300,5,1,sqrt,20,0.7743597023295055,0.021851705139011395,8
100,10,4,log2,30,0.7740047150807277,0.015740888196826848,10
100,10,4,sqrt,20,0.7740047150807277,0.015740888196826848,10
100,2,1,log2,30,0.773774920584032,0.026400501831363048,12
500,5,4,log2,10,0.7726888845620669,0.017555573594139142,13
200,2,4,sqrt,,0.7725931858155675,0.02393607213673374,14
300,10,1,sqrt,10,0.7720872853925485,0.017730688494104058,15
500,10,2,log2,15,0.7716635019295592,0.016115826080229427,16
500,2,1,sqrt,15,0.7714794829822285,0.027176895589533515,17
200,10,2,log2,,0.7713114492334816,0.02509554006417942,18
100,10,2,log2,20,0.7706221992005948,0.022058356457634792,19
100,10,2,log2,,0.7706221992005948,0.022058356457634792,19
100,5,2,log2,10,0.7706012173723951,0.02630535114995745,21
300,5,2,log2,10,0.77017709091455,0.024129739008665906,22
200,10,4,log2,20,0.7684750150280127,0.018947909311121856,23
200,10,4,sqrt,,0.7684750150280127,0.018947909311121856,23
100,10,1,sqrt,20,0.7684657598473581,0.024956556389062676,25
300,2,2,sqrt,30,0.7677675486833169,0.023997286982864338,26
100,5,1,sqrt,20,0.7676650057908769,0.02635015231597361,27
100,10,4,log2,10,0.7668900757920267,0.0214357506076152,28
200,10,1,sqrt,30,0.7662058788569226,0.01595635149863796,29
100,2,2,sqrt,30,0.7658409679129852,0.023715405292830824,30
