age,income,monthly_expense,credit_score,loan_amount,loan_tenure_months,num_existing_loans,num_late_payments,employment_type,education,years_employed,num_dependents,loan_default
60.0,81250.0,67366.98917144164,546,30362,48,0,2,salaried,bachelors,4.0,0,0
50.0,36673.0,21267.68018916876,447,52842,36,4,0,contract,high_school,24.0,0,1
36.0,142808.0,78409.25263617428,529,51539,36,2,1,contract,bachelors,13.0,0,0
64.0,47056.0,21329.63185168299,673,38717,60,2,0,self_employed,masters,16.0,0,0
29.0,26614.0,22019.878818199264,379,59596,24,2,1,salaried,bachelors,11.0,1,1
42.0,,22712.872047604626,364,28016,60,1,2,salaried,high_school,19.0,2,0
60.0,27415.0,16967.31530504161,387,60200,48,4,0,salaried,high_school,11.0,1,1
40.0,108691.0,49498.16911977761,387,65287,24,4,8,salaried,bachelors,29.0,4,1
44.0,134966.0,61200.948103294395,503,47607,48,0,9,salaried,masters,2.0,4,1
32.0,63884.0,33394.25727976723,681,32621,60,2,4,self_employed,bachelors,29.0,3,1
32.0,36964.0,31394.860143719423,775,17823,24,2,7,salaried,bachelors,20.0,0,1
45.0,57726.0,19062.94176574956,838,34986,60,3,4,salaried,high_school,20.0,3,1
57.0,143133.0,88484.53433570934,513,69325,12,3,7,salaried,bachelors,25.0,4,1
61.0,57044.0,19703.835400630396,373,62771,36,1,6,self_employed,high_school,1.0,0,0
45.0,77149.0,29701.3201321162,360,59973,24,4,3,self_employed,masters,20.0,2,0
24.0,57544.0,31175.015456758825,842,19690,36,0,6,self_employed,bachelors,24.0,4,0
43.0,69976.0,40638.77698310422,518,44107,12,0,5,salaried,masters,20.0,3,0
23.0,52252.0,23112.93150702471,311,62888,24,2,2,salaried,masters,14.0,3,0
45.0,23832.0,11297.593488649496,714,15956,36,0,8,salaried,masters,10.0,4,0
51.0,110811.0,38543.59636486911,331,61227,36,2,9,salaried,bachelors,9.0,1,1
59.0,100437.0,46881.06698648074,459,41533,24,4,8,contract,high_school,17.0,2,1
23.0,123749.0,102910.55217319664,536,61234,36,0,4,unemployed,phd,22.0,4,1
42.0,54148.0,44379.10841654085,480,72594,36,2,7,self_employed,masters,21.0,4,1
54.0,81240.0,39335.03175990076,640,61901,24,4,6,contract,masters,22.0,3,0
33.0,128169.0,78691.87798740192,757,16519,36,4,8,self_employed,high_school,23.0,0,1
43.0,145607.0,116526.0008624202,379,36115,36,2,6,salaried,bachelors,25.0,0,1
46.0,108454.0,32905.06316538269,772,71266,48,2,3,unemployed,masters,20.0,0,1
48.0,132230.0,98627.17867815688,411,6832,48,1,3,salaried,high_school,1.0,3,0
63.0,148933.0,122363.83743303166,591,46368,12,4,7,self_employed,bachelors,6.0,0,1
49.0,105076.0,36800.67857345806,682,74715,48,2,5,salaried,bachelors,6.0,4,0
37.0,97116.0,37758.33441222524,316,76835,48,4,8,salaried,high_school,23.0,1,1
36.0,73459.0,60854.20446040455,792,78366,12,0,9,self_employed,bachelors,6.0,1,0
24.0,58402.0,34786.98070788593,630,42570,36,3,6,salaried,bachelors,25.0,1,0
58.0,77727.0,23925.003994171017,785,11615,36,3,6,salaried,high_school,22.0,0,0
28.0,58578.0,25873.761972963504,705,77298,48,2,3,salaried,bachelors,13.0,1,0
42.0,110453.0,60469.595759710086,416,43311,12,2,2,salaried,bachelors,28.0,0,1
30.0,42318.0,28822.785613210366,414,28434,36,4,7,unemployed,bachelors,24.0,4,1
60.0,95715.0,67310.44507635006,848,20739,60,2,6,self_employed,masters,23.0,4,0
39.0,97787.0,82872.70591644288,846,71202,24,4,3,salaried,bachelors,1.0,3,0
25.0,131435.0,60214.468970052396,635,38649,24,2,3,salaried,bachelors,1.0,3,0
46.0,105029.0,62599.49549352925,635,52445,24,4,0,contract,masters,22.0,2,0
35.0,40466.0,24009.608878227726,446,44470,48,2,6,salaried,phd,25.0,4,1
30.0,115742.0,60545.20649041818,421,79965,24,1,0,salaried,high_school,14.0,0,1
47.0,65475.0,25734.231249632852,380,53621,24,4,9,salaried,bachelors,10.0,2,1
23.0,80142.0,67127.02813767373,674,37926,60,1,9,contract,bachelors,28.0,4,0
41.0,105160.0,80902.159442422,362,42997,36,1,3,salaried,bachelors,9.0,0,1
49.0,,34444.98993370983,803,64940,60,1,2,salaried,masters,2.0,4,0
28.0,42412.0,26795.26467678129,748,45724,48,1,2,salaried,phd,16.0,4,0
29.0,113526.0,48247.82110152782,727,36704,24,0,0,salaried,phd,8.0,0,0
56.0,71001.0,42535.48418168643,726,33391,36,3,3,self_employed,bachelors,29.0,4,0
35.0,77649.0,52974.754726712206,720,68291,24,0,0,salaried,bachelors,14.0,4,0
38.0,80957.0,47225.607414401195,621,7526,24,2,7,salaried,phd,29.0,4,0
57.0,55517.0,46892.8139984503,465,29686,48,2,0,salaried,bachelors,13.0,3,1
61.0,33156.0,21095.10417500229,760,78339,24,3,5,salaried,bachelors,18.0,1,1
25.0,43064.0,21705.786577488045,758,11574,12,3,6,contract,masters,16.0,4,1
23.0,45711.0,33126.01273389117,488,13733,36,3,9,contract,bachelors,21.0,0,1
27.0,50106.0,19729.457032920367,763,55290,36,1,1,salaried,bachelors,19.0,4,0
63.0,85458.0,43710.37382424057,678,77793,12,0,3,salaried,masters,29.0,3,0
25.0,36589.0,17958.88456945102,301,41051,48,2,2,salaried,high_school,16.0,3,1
50.0,109272.0,58733.033693139376,663,20909,24,0,8,self_employed,high_school,15.0,4,0
39.0,106511.0,77750.783071722,371,78432,24,0,6,self_employed,bachelors,19.0,2,1
47.0,121754.0,68948.70184691293,726,33133,36,0,1,salaried,bachelors,7.0,1,0
55.0,27214.0,20048.770087245848,469,56571,48,3,5,self_employed,high_school,26.0,0,1
31.0,116117.0,71652.18908124049,504,55908,48,3,8,self_employed,bachelors,6.0,0,1
57.0,105731.0,51611.33886767789,636,16278,48,2,2,contract,bachelors,11.0,0,0
35.0,130118.0,97001.44779383334,771,56458,24,2,5,salaried,masters,0.0,0,0
52.0,146479.0,63141.13795912046,494,69265,48,2,2,salaried,bachelors,25.0,3,0
36.0,47127.0,19954.07317896373,574,61782,12,0,2,salaried,masters,11.0,1,1
29.0,25141.0,14518.339407514444,306,60415,60,3,3,contract,bachelors,24.0,4,1
35.0,48884.0,21678.444996785915,477,59160,48,1,8,self_employed,bachelors,5.0,4,1
44.0,110421.0,33678.16971749154,541,59399,60,0,7,self_employed,bachelors,15.0,2,1
61.0,22708.0,14909.247137445653,502,30298,24,4,0,salaried,high_school,17.0,4,1
42.0,38375.0,22299.773969451802,842,27191,48,0,0,salaried,masters,18.0,1,0
37.0,35088.0,19124.180991214824,761,61964,36,3,6,salaried,bachelors,22.0,4,1
39.0,77615.0,64562.69369415531,379,38092,24,4,2,self_employed,high_school,2.0,3,1
45.0,130138.0,79925.49567141112,822,67513,12,0,6,salaried,bachelors,28.0,4,0
47.0,65046.0,50403.32372488856,716,56097,12,3,8,salaried,bachelors,2.0,0,1
46.0,30014.0,11306.202664203922,683,35279,60,3,2,self_employed,bachelors,4.0,0,1
62.0,84425.0,51757.89060733606,690,19404,60,1,2,salaried,high_school,2.0,0,0
50.0,23273.0,18092.169419099566,425,75022,36,0,1,salaried,high_school,18.0,0,1
36.0,67135.0,41671.242758242275,793,40198,36,3,9,salaried,bachelors,26.0,3,1
22.0,122842.0,85363.86371821241,346,54997,12,2,0,contract,bachelors,4.0,3,0
46.0,50881.0,25675.771825619107,775,5567,48,3,8,self_employed,bachelors,13.0,3,0
28.0,117022.0,41056.84506049138,763,66032,12,1,5,contract,high_school,20.0,4,1
30.0,98077.0,54123.317984847774,422,7179,12,3,5,salaried,bachelors,15.0,0,1
45.0,28712.0,14843.060748370901,773,7019,36,0,7,contract,masters,27.0,2,0
22.0,94704.0,73573.93713160872,433,23704,60,0,4,contract,masters,24.0,2,1
29.0,72874.0,31641.70251499874,322,23030,36,4,8,self_employed,masters,0.0,0,1
45.0,89087.0,74093.99867063109,534,74445,36,0,4,contract,high_school,29.0,1,1
32.0,32297.0,26708.842770429197,358,78551,36,4,1,salaried,phd,16.0,4,1
38.0,129269.0,56386.802177510996,463,8420,12,2,5,salaried,bachelors,10.0,2,1
29.0,47128.0,23160.045906754338,515,64875,48,1,8,salaried,phd,29.0,3,1
56.0,88368.0,70036.5583402489,482,52653,12,2,2,self_employed,bachelors,8.0,1,1
56.0,114019.0,94823.0144523943,389,21740,24,4,9,self_employed,bachelors,20.0,3,1
54.0,107599.0,58522.182214330525,610,70263,36,3,3,self_employed,bachelors,3.0,1,0
26.0,108499.0,51705.02215024547,556,69559,36,3,9,salaried,bachelors,1.0,1,1
,98958.0,58321.06624984035,832,24465,24,2,7,salaried,masters,27.0,4,0
60.0,52920.0,35894.21052048108,832,56432,36,3,5,salaried,masters,8.0,3,1
62.0,140442.0,63256.6193385611,351,9131,36,4,6,self_employed,phd,21.0,3,1
49.0,31156.0,21966.857025637506,637,15652,36,1,6,salaried,bachelors,24.0,2,1
28.0,31108.0,10216.22638581724,470,69973,24,0,3,contract,bachelors,4.0,0,1
30.0,51845.0,16959.120137554142,366,52147,12,4,5,salaried,high_school,3.0,0,1
29.0,22800.0,11684.047822525137,599,52671,36,4,8,salaried,phd,22.0,2,1
33.0,148832.0,73584.06716642965,531,24171,48,0,2,contract,bachelors,4.0,1,0
55.0,123614.0,58543.37635641734,367,60692,24,0,7,salaried,masters,23.0,2,1
54.0,62712.0,35749.65724607098,805,63541,60,1,6,salaried,bachelors,23.0,2,1
44.0,22610.0,10771.482462835545,327,14470,24,1,3,salaried,bachelors,,3,1
