student_id,target_role,top1_job,top1_score,top1_correct_role,would_show_low_fit_warning,matched_skills,missing_skills,status
1577,Business Analyst,Business Analyst,1.0,True,False,"Excel,SQL,Power BI,Communication,Data Visualization",,ok
1205,DevOps Engineer,DevOps Engineer,0.8406,True,False,"Kubernetes,CI/CD,Git,Linux",Docker,ok
1108,Full Stack Developer,Full Stack Developer,0.899,True,False,"Node.js,REST API,React",,ok
1767,Backend Developer,Backend Developer,0.9226,True,False,"Spring Boot,Microservices,REST API,Java,Git",,ok
1296,Business Analyst,Business Analyst,0.9281,True,False,"Excel,Communication,SQL",,ok
1018,ML Engineer,ML Engineer,0.9166,True,False,"TensorFlow,Machine Learning,SQL,Python",,ok
1777,ML Engineer,ML Engineer,0.7894,True,False,"Python,TensorFlow,Docker,Deep Learning",Machine Learning,ok
1367,QA Engineer,QA Engineer,0.7489,True,False,"Test Automation,Java,Manual Testing",SQL,ok
1267,Data Scientist,Data Scientist,0.7311,True,False,"Statistics,Machine Learning",Deep Learning,ok
1624,QA Engineer,QA Engineer,0.5824,True,False,"Test Automation,Java,Git","Manual Testing,Selenium",ok
1144,Business Analyst,Business Analyst,0.8905,True,False,"SQL,Power BI,Communication,Data Visualization",Excel,ok
1376,Backend Developer,Backend Developer,0.9361,True,False,"Java,REST API,SQL",,ok
1521,Backend Developer,Backend Developer,0.8557,True,False,"Spring Boot,Microservices,SQL,Git",REST API,ok
1136,Backend Developer,Backend Developer,0.9173,True,False,"Spring Boot,REST API,SQL,Java",Git,ok
1023,Frontend Developer,Frontend Developer,1.0,True,False,"Git,JavaScript,TypeScript,CSS",,ok
1511,DevOps Engineer,DevOps Engineer,0.9265,True,False,"AWS,Docker,CI/CD,Git",,ok
1101,Data Scientist,Data Scientist,0.8546,True,False,"Deep Learning,SQL,Statistics,Python",,ok
1270,Business Analyst,Business Analyst,0.8687,True,False,"Excel,Communication,SQL",,ok
1327,DevOps Engineer,DevOps Engineer,0.979,True,False,"Kubernetes,CI/CD,Docker,Git,Linux",,ok
1359,ML Engineer,Data Scientist,0.5483,False,False,"Machine Learning,SQL",Python,ok
1049,Full Stack Developer,Full Stack Developer,0.8525,True,False,"Git,Node.js,React",,ok
1141,Data Analyst,Data Analyst,0.8005,True,False,"Statistics,SQL,Python",Power BI,ok
1665,Data Analyst,Data Analyst,0.8783,True,False,"Power BI,Statistics,Python,SQL,Data Visualization",,ok
1593,Product Manager,Product Manager,0.8389,True,False,"Excel,Agile,Stakeholder Management,SQL",,ok
1137,ML Engineer,ML Engineer,0.6528,True,False,"Deep Learning,Docker",Python,ok
1192,Product Manager,Product Manager,0.7212,True,False,"Stakeholder Management,Communication,Excel",Agile,ok
1645,Full Stack Developer,Full Stack Developer,0.7915,True,False,"Git,REST API,Node.js,JavaScript",React,ok
1082,QA Engineer,QA Engineer,0.7801,True,False,"Java,Manual Testing,Git,Selenium",Test Automation,ok
1460,Data Analyst,Business Analyst,0.8427,False,False,"Excel,SQL,Power BI,Communication,Data Visualization",,ok
1721,Business Analyst,Business Analyst,0.9333,True,False,"Excel,SQL,Power BI,Communication,Data Visualization",,ok
1153,QA Engineer,QA Engineer,0.7743,True,False,"Java,Manual Testing,Git,Selenium",Test Automation,ok
1477,Backend Developer,Backend Developer,0.9219,True,False,"REST API,Spring Boot,Microservices,SQL,Git",,ok
1127,Data Analyst,Data Analyst,1.0,True,False,"SQL,Power BI,Excel,Python",,ok
1548,ML Engineer,ML Engineer,1.0,True,False,"TensorFlow,Machine Learning,SQL,Python",,ok
1440,ML Engineer,ML Engineer,0.8149,True,False,"TensorFlow,Docker,Deep Learning,Machine Learning",Python,ok
1329,Backend Developer,Backend Developer,0.7391,True,False,"Spring Boot,Git,REST API,SQL",Java,ok
1626,Product Manager,Product Manager,0.8735,True,False,"Agile,SQL,Roadmapping",Excel,ok
1218,Backend Developer,Backend Developer,0.9173,True,False,"Spring Boot,REST API,SQL,Java",Git,ok
1457,Backend Developer,Backend Developer,0.7523,True,False,"REST API,Microservices,SQL","Spring Boot,Git",ok
1756,Full Stack Developer,Full Stack Developer,0.8281,True,False,"Node.js,REST API",React,ok
1007,Frontend Developer,Full Stack Developer,0.8044,False,False,"Git,SQL,React",,ok
1339,Product Manager,Product Manager,0.8633,True,False,"Agile,Excel,Stakeholder Management,Roadmapping",,ok
1598,ML Engineer,ML Engineer,0.9477,True,False,"Python,TensorFlow,Docker,Deep Learning,Machine Learning",,ok
1512,QA Engineer,QA Engineer,1.0,True,False,"Git,Selenium,SQL,Manual Testing,Test Automation",,ok
1416,Data Scientist,Data Scientist,0.755,True,False,"Deep Learning,SQL,Statistics,Python",,ok
1527,Backend Developer,Backend Developer,0.8161,True,False,"Java,Spring Boot",Git,ok
1712,Data Analyst,Data Analyst,0.8713,True,False,"SQL,Power BI,Excel,Python",,ok
1259,QA Engineer,QA Engineer,0.86,True,False,"SQL,Git,Manual Testing",,ok
1054,Full Stack Developer,Full Stack Developer,0.9155,True,False,"Node.js,REST API,React",,ok
1075,Backend Developer,Backend Developer,0.9679,True,False,"Microservices,REST API,Java,Git",,ok
1798,Data Analyst,Business Analyst,0.6396,False,False,"SQL,Data Visualization,Excel",Power BI,ok
1254,Full Stack Developer,Full Stack Developer,0.8779,True,False,"Git,REST API,Node.js,JavaScript",React,ok
1004,Business Analyst,Business Analyst,0.9246,True,False,"SQL,Data Visualization,Power BI,Statistics",,ok
1704,Data Analyst,Data Analyst,0.8976,True,False,"Statistics,Python,Power BI",SQL,ok
1719,ML Engineer,ML Engineer,0.9759,True,False,"Python,TensorFlow,Docker,Deep Learning,Machine Learning",,ok
1634,DevOps Engineer,DevOps Engineer,0.7137,True,False,"AWS,Kubernetes",Git,ok
1603,Business Analyst,Business Analyst,0.8839,True,False,"Statistics,Communication,Power BI",,ok
1116,Data Scientist,Data Scientist,0.7765,True,False,"Statistics,Machine Learning,Pandas,Python",Deep Learning,ok
1787,Data Analyst,Data Analyst,0.9688,True,False,"Python,Data Visualization,Excel,Statistics,Power BI",,ok
1701,QA Engineer,QA Engineer,0.8347,True,False,"Test Automation,Java,Git,Selenium",Manual Testing,ok
