session_id,student_id,window_index,eye_away_duration_sec,face_missing_duration_sec,tab_switch_count,window_focus_loss_count,multiple_faces_detected,audio_voice_detected,head_pose_deviation_deg,label_cheating,archetype,split
S00290,290,1,28.4,2.1,14,2,0,0,41.2,1,cheating_lookup,train
S00342,342,4,2.3,1.4,1,0,0,0,2.4,0,honest_normal,train
S00405,405,6,0.0,0.4,0,0,0,0,9.8,0,honest_normal,train
S00085,85,5,2.3,0.8,1,1,0,0,7.2,0,honest_normal,val
S00042,42,6,1.4,1.1,0,0,0,0,2.3,0,honest_normal,test
S00215,215,2,12.6,0.0,6,1,1,0,28.5,1,cheating_collaboration,test
S00103,103,5,3.7,7.8,0,0,0,1,6.4,0,honest_environment_noise,train
S00227,227,2,10.3,0.0,2,1,0,0,15.6,0,honest_distracted,train
S00090,90,4,4.6,1.6,2,1,0,0,23.0,0,honest_distracted,train
S00079,79,2,1.1,1.4,0,0,0,0,6.4,0,honest_normal,val
S00132,132,9,1.1,0.4,0,1,0,0,6.0,0,honest_normal,train
S00071,71,4,1.8,1.1,1,0,0,0,3.8,0,honest_normal,train
S00128,128,2,0.2,0.6,0,0,0,0,9.0,0,honest_normal,train
S00104,104,5,5.1,3.1,3,3,1,1,56.1,1,cheating_collaboration,test
S00343,343,4,2.7,0.0,0,0,0,0,6.2,0,honest_normal,train
S00392,392,2,27.8,5.0,6,6,0,0,17.3,1,cheating_lookup,train
S00238,238,8,4.2,0.9,0,0,0,0,5.8,0,honest_normal,train
S00185,185,4,1.5,0.1,0,0,0,0,8.2,0,honest_normal,train
S00160,160,4,2.2,0.4,0,0,0,0,8.0,0,honest_normal,train
S00097,97,1,4.8,0.9,4,0,0,0,19.1,0,honest_distracted,val
S00085,85,6,0.0,0.5,0,0,0,0,2.5,0,honest_normal,val
S00055,55,3,8.0,2.8,12,4,0,0,27.6,1,cheating_lookup,train
S00223,223,2,0.7,0.8,0,0,0,0,20.1,0,honest_normal,train
S00095,95,6,1.6,1.2,1,0,0,0,14.8,0,honest_normal,val
S00293,293,2,2.0,0.1,1,0,0,0,8.7,0,honest_normal,test
S00195,195,1,12.3,1.0,2,2,0,1,8.3,0,honest_distracted,train
S00103,103,4,0.0,1.2,1,0,0,0,8.7,0,honest_normal,train
S00173,173,7,0.0,0.0,1,0,0,0,0.0,0,honest_normal,train
S00078,78,3,3.8,10.6,0,0,1,1,6.7,0,honest_environment_noise,train
S00112,112,8,3.5,1.1,1,2,0,0,7.6,0,honest_normal,train
S00283,283,7,0.0,1.5,0,0,0,0,5.0,0,honest_normal,train
S00332,332,1,1.8,0.2,0,1,0,0,8.5,0,honest_normal,train
S00294,294,5,5.5,0.0,1,0,0,0,7.3,0,honest_distracted,train
S00352,352,1,0.3,0.5,0,0,0,0,4.0,0,honest_normal,val
S00183,183,7,9.6,0.8,1,0,0,0,22.4,0,honest_distracted,val
S00187,187,2,2.8,0.3,0,0,0,0,12.1,0,honest_normal,test
S00396,396,3,4.3,1.0,1,1,0,1,6.8,0,honest_environment_noise,train
S00285,285,4,0.0,0.3,0,1,0,0,8.5,0,honest_normal,train
S00149,149,3,28.1,2.8,7,4,0,0,29.0,1,cheating_lookup,train
S00247,247,2,0.0,0.6,0,0,0,0,0.0,0,honest_normal,train
S00102,102,6,5.6,7.8,0,0,0,0,23.1,0,honest_environment_noise,train
S00074,74,3,4.5,9.1,0,0,0,0,7.9,0,honest_environment_noise,train
S00165,165,1,0.0,0.4,0,2,0,0,6.3,0,honest_normal,train
S00131,131,5,2.2,0.0,1,0,0,0,0.0,0,honest_normal,train
S00018,18,1,7.1,3.2,2,0,0,0,17.8,0,honest_distracted,train
S00130,130,7,1.0,1.4,0,0,0,0,9.3,0,honest_normal,train
S00242,242,7,1.5,1.3,0,0,0,0,0.2,0,honest_normal,train
S00188,188,3,8.7,6.1,0,0,0,0,0.0,0,honest_environment_noise,train
S00163,163,7,4.0,0.0,0,0,0,0,9.5,0,honest_normal,train
S00306,306,4,10.8,1.3,0,1,0,0,23.4,0,honest_distracted,test
S00204,204,2,1.6,0.5,1,0,0,0,6.9,0,honest_normal,train
S00020,20,1,11.2,2.5,4,1,0,0,17.7,0,honest_distracted,val
S00195,195,4,9.7,2.5,3,3,0,0,13.4,0,honest_distracted,train
S00004,4,1,2.4,0.0,2,0,0,0,2.3,0,honest_normal,train
S00253,253,5,17.2,3.3,5,5,0,0,22.5,1,cheating_lookup,train
S00365,365,6,2.1,0.6,0,0,0,0,3.9,0,honest_normal,train
S00410,410,5,3.4,0.5,0,0,0,0,5.8,0,honest_normal,train
S00084,84,8,1.3,0.8,0,0,0,0,6.1,0,honest_normal,train
S00186,186,7,2.0,0.9,0,1,0,0,13.4,0,honest_normal,test
S00322,322,6,20.8,0.0,6,1,1,1,40.8,1,cheating_collaboration,train
S00109,109,4,0.8,5.6,0,0,0,1,8.0,0,honest_environment_noise,train
S00108,108,7,1.8,4.2,1,1,0,0,6.7,0,honest_environment_noise,train
S00130,130,6,2.6,0.2,0,0,0,0,7.9,0,honest_normal,train
S00258,258,3,9.1,1.0,2,3,0,0,17.3,0,honest_distracted,val
S00164,164,4,15.1,1.2,6,4,0,0,18.9,1,cheating_lookup,train
S00018,18,4,9.5,3.8,2,3,0,0,23.4,0,honest_distracted,train
S00233,233,7,8.8,0.0,1,2,0,1,14.6,0,honest_distracted,train
S00163,163,6,1.4,1.8,1,0,0,0,0.7,0,honest_normal,train
S00110,110,6,0.0,0.9,0,0,0,0,0.6,0,honest_normal,test
S00185,185,1,10.7,1.9,4,2,0,1,25.3,1,cheating_lookup,train
S00192,192,9,2.3,5.1,1,0,0,1,6.4,0,honest_environment_noise,train
S00082,82,6,1.9,0.6,0,0,0,0,1.1,0,honest_normal,train
S00178,178,2,0.6,0.4,0,0,0,0,8.4,0,honest_normal,train
S00301,301,2,1.4,0.6,0,0,0,0,9.4,0,honest_normal,train
S00011,11,3,8.5,2.3,3,1,0,0,16.3,0,honest_distracted,train
S00418,418,8,16.5,3.5,2,0,1,1,26.9,1,cheating_collaboration,test
S00389,389,4,0.0,3.0,1,0,0,0,8.6,0,honest_environment_noise,test
S00364,364,6,1.1,1.3,0,0,0,0,4.3,0,honest_normal,test
S00385,385,2,1.2,0.0,0,0,0,1,7.0,0,honest_normal,test
S00290,290,7,20.6,3.9,3,4,0,0,8.2,1,cheating_lookup,train
S00232,232,4,0.4,0.7,0,0,0,0,5.5,0,honest_normal,train
S00253,253,4,16.7,0.4,8,6,0,0,19.0,1,cheating_lookup,train
S00397,397,5,10.4,1.4,1,0,0,0,7.2,0,honest_distracted,val
S00014,14,8,1.8,2.1,0,0,0,0,1.7,0,honest_normal,test
S00326,326,1,24.2,4.1,4,6,0,0,40.0,1,cheating_lookup,train
S00110,110,1,2.2,0.6,1,0,0,0,7.1,0,honest_normal,test
S00311,311,1,6.0,3.7,2,1,1,1,21.7,1,cheating_collaboration,train
S00252,252,9,2.3,0.0,0,0,0,0,0.0,0,honest_normal,train
S00258,258,7,4.4,2.8,4,1,0,0,12.6,0,honest_distracted,val
S00278,278,6,17.5,2.3,2,1,1,1,34.4,1,cheating_collaboration,test
S00266,266,9,7.1,1.8,1,2,0,0,17.0,0,honest_distracted,train
S00176,176,1,1.5,0.3,0,0,0,0,0.0,0,honest_normal,test
S00329,329,7,2.3,0.8,1,0,0,0,5.5,0,honest_normal,train
S00003,3,7,2.0,0.1,0,0,0,0,16.4,0,honest_normal,train
S00029,29,6,1.5,0.9,1,0,0,0,5.8,0,honest_normal,train
S00408,408,5,5.1,5.2,0,0,0,1,15.6,0,honest_environment_noise,train
S00266,266,8,14.6,1.9,3,1,0,0,7.7,0,honest_distracted,train
S00048,48,4,11.1,2.2,0,2,0,0,16.8,0,honest_distracted,train
S00273,273,3,2.3,0.1,1,1,0,0,5.2,0,honest_normal,val
S00383,383,2,1.1,0.1,0,0,0,0,7.8,0,honest_normal,train
S00372,372,1,2.5,1.2,0,1,0,0,6.9,0,honest_normal,val
S00031,31,9,1.5,0.7,0,1,0,0,7.8,0,honest_normal,train
S00081,81,4,0.0,0.3,0,0,0,0,10.3,0,honest_normal,train
S00013,13,2,9.6,1.7,1,1,0,0,15.4,0,honest_distracted,train
S00068,68,3,1.4,0.8,0,0,0,0,8.8,0,honest_normal,train
S00156,156,4,0.5,0.0,0,0,0,0,0.0,0,honest_normal,train
S00328,328,5,0.8,2.1,0,0,0,0,4.3,0,honest_normal,train
S00293,293,3,0.0,1.5,0,0,0,0,4.7,0,honest_normal,test
S00262,262,2,4.9,1.1,4,0,0,1,24.0,1,cheating_collaboration,train
S00056,56,6,0.9,0.0,0,0,0,0,5.0,0,honest_normal,train
S00245,245,1,9.7,3.1,2,5,1,1,38.1,1,cheating_collaboration,val
S00179,179,3,6.7,1.2,1,2,0,0,19.6,0,honest_distracted,train
S00238,238,3,1.8,0.0,0,0,0,0,11.9,0,honest_normal,train
S00046,46,2,1.4,0.6,0,1,0,0,13.6,0,honest_normal,train
S00095,95,4,4.3,1.4,0,0,0,0,10.0,0,honest_normal,val
S00004,4,3,1.1,0.2,0,0,0,0,2.0,0,honest_normal,train
S00125,125,3,0.7,0.9,0,0,0,0,7.8,0,honest_normal,train
S00372,372,5,2.4,0.7,0,0,0,0,6.1,0,honest_normal,val
S00239,239,3,1.9,0.1,0,0,0,0,4.7,0,honest_normal,train
S00124,124,7,0.0,0.1,0,0,0,0,8.0,0,honest_normal,val
S00224,224,1,22.4,5.8,5,6,0,0,27.1,1,cheating_lookup,train
S00260,260,7,5.9,7.2,0,0,0,1,6.2,0,honest_environment_noise,test
S00167,167,5,3.1,0.0,1,0,0,0,10.0,0,honest_normal,train
S00222,222,3,9.8,2.2,0,1,0,0,19.9,0,honest_distracted,val
S00214,214,2,10.0,1.5,0,1,0,0,16.7,0,honest_distracted,train
S00142,142,4,10.2,1.6,1,4,0,1,32.6,1,cheating_collaboration,val
S00326,326,4,22.5,6.6,4,2,0,0,30.5,1,cheating_lookup,train
S00189,189,2,1.5,1.0,0,0,0,0,3.3,0,honest_normal,test
S00162,162,6,3.1,0.2,0,0,0,0,6.9,0,honest_normal,train
S00176,176,8,1.9,0.5,0,0,0,0,3.8,0,honest_normal,test
S00005,5,7,1.2,2.7,0,0,0,0,15.0,0,honest_environment_noise,train
S00414,414,1,0.0,5.3,0,0,0,0,6.6,0,honest_environment_noise,train
S00142,142,5,13.0,2.7,2,3,0,1,37.4,1,cheating_collaboration,val
S00228,228,6,8.0,5.6,11,5,0,0,26.6,1,cheating_lookup,test
S00184,184,3,11.9,0.7,5,3,0,1,48.8,1,cheating_collaboration,val
S00400,400,5,2.1,0.4,0,0,0,0,9.7,0,honest_normal,train
S00219,219,5,3.4,1.1,0,0,0,0,6.6,0,honest_normal,train
S00114,114,4,5.9,10.0,0,0,0,1,12.5,0,honest_environment_noise,train
S00129,129,4,17.2,4.2,13,7,0,0,25.4,1,cheating_lookup,train
S00336,336,7,17.1,1.9,5,2,0,1,30.8,1,cheating_lookup,train
S00048,48,1,12.6,1.7,2,1,1,0,12.8,0,honest_distracted,train
S00265,265,4,0.0,0.0,1,0,0,0,8.4,0,honest_normal,train
S00069,69,7,7.1,1.0,1,0,1,1,7.7,0,honest_environment_noise,train
S00020,20,2,5.4,2.3,2,1,0,1,9.6,0,honest_distracted,val
S00394,394,2,0.0,0.2,0,1,0,0,10.9,0,honest_normal,train
S00132,132,4,2.0,0.0,1,2,0,0,7.0,0,honest_distracted,train
S00182,182,4,2.0,0.2,1,0,0,0,7.9,0,honest_normal,train
S00047,47,3,0.0,0.3,1,0,0,0,10.1,0,honest_normal,train
S00420,420,7,0.0,0.0,0,1,0,0,8.9,0,honest_normal,test
S00328,328,1,0.9,0.9,0,0,0,0,7.2,0,honest_normal,train
S00381,381,2,0.8,0.7,0,0,0,0,4.3,0,honest_normal,train
S00322,322,4,2.0,1.0,1,0,0,0,3.8,0,honest_normal,train
S00317,317,1,0.4,0.6,0,0,0,0,7.5,0,honest_normal,train
S00166,166,4,2.4,0.8,1,0,0,0,6.2,0,honest_normal,val
S00382,382,6,2.4,0.6,1,0,0,0,5.8,0,honest_normal,val
S00022,22,3,1.4,0.4,0,0,0,0,1.2,0,honest_normal,train
S00254,254,6,2.5,0.5,0,0,0,0,11.6,0,honest_normal,train
S00315,315,3,1.9,0.8,1,1,0,0,11.7,0,honest_normal,train
S00112,112,2,1.5,0.5,1,0,0,0,10.9,0,honest_normal,train
S00132,132,2,2.0,0.0,1,1,0,0,7.3,0,honest_distracted,train
S00371,371,5,4.4,3.6,0,0,0,1,8.4,0,honest_environment_noise,train
S00415,415,3,3.3,15.1,3,1,0,1,14.5,0,honest_environment_noise,val
S00205,205,4,6.9,2.7,1,0,0,0,8.5,0,honest_distracted,train
S00420,420,2,2.6,0.3,0,0,0,0,9.6,0,honest_normal,test
S00045,45,1,19.5,6.3,9,7,0,0,14.8,1,cheating_lookup,train
S00274,274,4,2.9,0.2,1,0,0,0,4.5,0,honest_normal,test
S00162,162,8,1.8,0.0,0,0,0,0,4.7,0,honest_normal,train
S00376,376,4,19.5,3.7,9,2,0,0,22.5,1,cheating_lookup,test
S00357,357,7,1.7,1.5,0,0,0,0,7.8,0,honest_normal,train
S00269,269,7,0.6,0.6,0,0,0,0,0.8,0,honest_normal,val
S00344,344,9,0.4,0.7,0,0,0,0,5.8,0,honest_normal,val
S00038,38,4,6.2,1.4,1,3,0,0,23.7,0,honest_distracted,test
S00369,369,6,5.0,10.6,0,0,0,0,2.2,0,honest_environment_noise,train
S00352,352,5,2.1,0.0,0,0,0,0,13.3,0,honest_normal,val
S00106,106,3,8.6,2.2,1,1,0,0,20.1,0,honest_distracted,train
S00158,158,4,17.4,2.8,10,6,0,0,21.8,1,cheating_lookup,train
S00010,10,8,6.7,2.1,2,3,0,0,5.7,0,honest_distracted,train
S00379,379,3,0.3,0.2,0,0,0,0,3.5,0,honest_normal,train
S00154,154,7,3.8,0.0,0,0,0,0,5.4,0,honest_normal,train
S00261,261,3,0.0,0.0,0,0,0,0,9.6,0,honest_normal,train
S00107,107,6,0.6,0.3,0,0,0,0,12.5,0,honest_normal,train
S00256,256,4,6.1,1.7,1,2,0,0,21.2,0,honest_distracted,train
S00118,118,4,1.1,0.9,0,0,0,0,10.0,0,honest_normal,train
S00364,364,2,0.0,0.1,0,0,0,0,0.8,0,honest_normal,test
S00377,377,3,13.3,0.7,3,1,1,1,31.5,1,cheating_collaboration,train
S00341,341,4,0.0,1.1,0,0,0,0,10.8,0,honest_normal,val
S00209,209,7,0.9,0.9,0,2,0,0,6.8,0,honest_normal,train
S00303,303,1,18.7,0.7,8,2,0,0,22.8,1,cheating_lookup,train
S00299,299,4,0.0,0.5,0,0,0,0,4.8,0,honest_normal,train
S00290,290,3,8.0,4.6,4,4,0,0,40.2,1,cheating_lookup,train
S00042,42,2,0.8,0.0,1,1,0,0,4.9,0,honest_normal,test
S00210,210,5,0.8,0.8,1,1,0,0,6.0,0,honest_normal,train
S00175,175,3,2.8,2.3,0,3,0,0,14.4,0,honest_distracted,train
