student_id,job_id,label,skill_overlap_ratio,mean_score_on_required,score_gap_mean,skills_below_threshold,nice_to_have_overlap,cgpa_gap,max_skill_score,avg_skill_score,graduation_recency,required_skills_count,min_score_threshold
STU_0001,JD_0001,0,0.0,34.33,-29.67,6,0.5,2.09,95.0,48.65,4,6,64
STU_0002,JD_0001,0,0.1667,43.83,-20.17,5,0.0,2.08,93.0,47.15,-1,6,64
STU_0003,JD_0001,0,0.3333,52.0,-12.0,4,0.0,-0.97,87.0,52.2,4,6,64
STU_0004,JD_0001,0,0.5,58.83,-5.17,3,0.0,1.31,87.0,49.55,4,6,64
STU_0005,JD_0001,0,0.1667,48.67,-15.33,5,0.5,-0.15,76.0,49.6,1,6,64
STU_0006,JD_0001,0,0.3333,50.83,-13.17,4,0.5,0.72,100.0,51.85,-1,6,64
STU_0007,JD_0001,0,0.5,55.83,-8.17,3,1.0,-0.7,79.0,51.0,4,6,64
STU_0008,JD_0001,0,0.3333,55.17,-8.83,4,0.0,2.37,79.0,50.55,2,6,64
STU_0009,JD_0001,0,0.0,40.33,-23.67,6,0.0,-0.76,89.0,56.4,1,6,64
STU_0010,JD_0001,0,0.3333,56.67,-7.33,4,0.0,-0.27,84.0,49.45,0,6,64
STU_0011,JD_0001,0,0.0,56.67,-7.33,6,0.5,3.14,100.0,57.5,2,6,64
STU_0012,JD_0001,0,0.3333,53.0,-11.0,4,0.5,1.63,82.0,51.9,1,6,64
STU_0013,JD_0001,0,0.8333,76.67,12.67,1,1.0,1.78,100.0,54.35,3,6,64
STU_0014,JD_0001,0,0.1667,46.83,-17.17,5,0.0,1.63,96.0,46.1,0,6,64
STU_0015,JD_0001,0,0.1667,50.83,-13.17,5,0.5,0.53,85.0,53.6,1,6,64
STU_0016,JD_0001,0,0.1667,58.5,-5.5,5,0.0,0.29,91.0,55.45,-1,6,64
STU_0017,JD_0001,0,0.3333,58.17,-5.83,4,1.0,0.05,83.0,53.25,1,6,64
STU_0018,JD_0001,0,0.3333,53.33,-10.67,4,0.0,1.05,75.0,47.95,-1,6,64
STU_0019,JD_0001,0,0.6667,72.33,8.33,2,1.0,-0.04,93.0,59.3,3,6,64
STU_0020,JD_0001,0,0.3333,47.5,-16.5,4,0.0,2.76,100.0,49.65,1,6,64
STU_0021,JD_0001,0,0.3333,51.5,-12.5,4,1.0,1.02,95.0,50.7,0,6,64
STU_0022,JD_0001,0,0.1667,48.67,-15.33,5,0.0,0.72,98.0,53.4,-1,6,64
STU_0023,JD_0001,0,0.1667,48.67,-15.33,5,0.0,1.18,64.0,43.7,1,6,64
STU_0024,JD_0001,0,0.1667,37.83,-26.17,5,0.5,2.7,100.0,55.15,-1,6,64
STU_0025,JD_0001,0,0.3333,48.0,-16.0,4,0.5,0.77,75.0,47.9,2,6,64
STU_0026,JD_0001,0,0.1667,48.17,-15.83,5,0.0,1.08,83.0,48.7,3,6,64
STU_0027,JD_0001,0,0.1667,41.83,-22.17,5,0.5,-0.24,75.0,42.65,0,6,64
STU_0028,JD_0001,0,0.1667,52.0,-12.0,5,0.5,1.48,77.0,48.95,4,6,64
STU_0029,JD_0001,0,0.5,62.83,-1.17,3,0.5,-0.07,97.0,52.25,2,6,64
STU_0030,JD_0001,0,0.0,47.0,-17.0,6,0.0,0.99,100.0,52.2,-1,6,64
STU_0031,JD_0001,0,0.1667,44.33,-19.67,5,1.0,0.94,100.0,55.8,-1,6,64
STU_0032,JD_0001,0,0.3333,49.17,-14.83,4,0.5,0.72,73.0,49.15,0,6,64
STU_0033,JD_0001,0,0.3333,52.33,-11.67,4,0.5,0.24,97.0,51.95,-1,6,64
STU_0034,JD_0001,0,0.1667,40.17,-23.83,5,1.0,0.84,94.0,50.0,0,6,64
STU_0035,JD_0001,0,0.5,65.83,1.83,3,1.0,1.43,89.0,52.6,4,6,64
STU_0036,JD_0001,0,0.0,39.33,-24.67,6,0.5,1.94,71.0,50.05,4,6,64
STU_0037,JD_0001,0,0.0,38.5,-25.5,6,0.5,-0.8,83.0,51.55,2,6,64
STU_0038,JD_0001,0,0.0,47.67,-16.33,6,0.5,1.22,84.0,47.65,3,6,64
STU_0039,JD_0001,0,0.1667,54.5,-9.5,5,0.5,2.27,99.0,56.95,3,6,64
STU_0040,JD_0001,0,0.0,43.33,-20.67,6,0.0,0.75,84.0,52.25,-1,6,64
STU_0041,JD_0001,0,0.1667,50.83,-13.17,5,0.0,1.71,86.0,53.0,-1,6,64
STU_0042,JD_0001,0,0.3333,46.17,-17.83,4,1.0,0.36,93.0,53.85,-1,6,64
STU_0043,JD_0001,0,0.0,43.67,-20.33,6,0.0,0.83,82.0,52.85,0,6,64
STU_0044,JD_0001,0,0.3333,46.33,-17.67,4,0.5,2.66,100.0,55.5,3,6,64
STU_0045,JD_0001,0,0.0,54.5,-9.5,6,1.0,1.7,100.0,60.5,4,6,64
STU_0046,JD_0001,0,0.3333,56.5,-7.5,4,0.5,0.65,81.0,55.9,3,6,64
STU_0047,JD_0001,0,0.3333,40.17,-23.83,4,0.0,0.53,89.0,49.35,3,6,64
STU_0048,JD_0001,0,0.5,64.17,0.17,3,1.0,1.9,93.0,54.1,1,6,64
STU_0049,JD_0001,0,0.3333,51.33,-12.67,4,0.5,-0.28,99.0,50.65,3,6,64
STU_0050,JD_0001,0,0.3333,46.0,-18.0,4,0.0,2.12,85.0,49.55,4,6,64
STU_0051,JD_0001,0,0.5,61.67,-2.33,3,0.5,2.85,92.0,59.0,0,6,64
STU_0052,JD_0001,0,0.1667,45.17,-18.83,5,0.0,2.56,95.0,51.9,4,6,64
STU_0053,JD_0001,0,0.3333,53.83,-10.17,4,1.0,-0.58,89.0,55.4,1,6,64
STU_0054,JD_0001,0,0.1667,42.0,-22.0,5,1.0,1.56,89.0,46.65,4,6,64
STU_0055,JD_0001,0,0.1667,50.17,-13.83,5,0.5,0.26,82.0,52.4,0,6,64
STU_0056,JD_0001,0,0.6667,70.67,6.67,2,0.5,0.04,100.0,57.55,3,6,64
STU_0057,JD_0001,0,0.6667,72.33,8.33,2,1.0,0.26,96.0,57.65,1,6,64
STU_0058,JD_0001,0,0.1667,38.5,-25.5,5,0.5,3.18,96.0,49.05,0,6,64
STU_0059,JD_0001,0,0.1667,49.0,-15.0,5,0.5,-0.53,81.0,49.75,2,6,64
STU_0060,JD_0001,0,0.3333,59.83,-4.17,4,0.5,-0.42,80.0,51.6,2,6,64
STU_0061,JD_0001,0,0.0,39.33,-24.67,6,0.5,1.17,90.0,49.55,-1,6,64
STU_0062,JD_0001,0,0.3333,52.5,-11.5,4,1.0,0.04,83.0,57.0,3,6,64
STU_0063,JD_0001,0,0.1667,52.67,-11.33,5,0.0,0.11,97.0,47.35,2,6,64
STU_0064,JD_0001,0,0.1667,52.67,-11.33,5,0.5,1.63,100.0,53.05,-1,6,64
STU_0065,JD_0001,0,0.5,69.67,5.67,3,0.0,-0.7,100.0,52.05,4,6,64
STU_0066,JD_0001,0,0.1667,51.5,-12.5,5,0.5,2.22,80.0,51.2,2,6,64
STU_0067,JD_0001,0,0.3333,58.83,-5.17,4,0.5,1.93,94.0,52.5,0,6,64
STU_0068,JD_0001,0,0.0,35.5,-28.5,6,0.0,2.79,89.0,45.05,-1,6,64
STU_0069,JD_0001,0,0.3333,42.5,-21.5,4,0.0,-0.46,94.0,49.7,0,6,64
STU_0070,JD_0001,0,0.5,63.67,-0.33,3,1.0,2.77,100.0,56.2,4,6,64
STU_0071,JD_0001,0,0.3333,55.0,-9.0,4,0.5,2.25,89.0,57.4,2,6,64
STU_0072,JD_0001,0,0.1667,51.33,-12.67,5,0.5,3.1,100.0,52.7,3,6,64
STU_0073,JD_0001,0,0.5,66.17,2.17,3,0.5,2.88,89.0,57.65,-1,6,64
STU_0074,JD_0001,0,0.3333,60.33,-3.67,4,0.5,2.29,78.0,51.2,3,6,64
STU_0075,JD_0001,0,0.3333,58.83,-5.17,4,1.0,-0.24,90.0,59.65,3,6,64
STU_0076,JD_0001,0,0.1667,43.33,-20.67,5,0.5,-1.0,94.0,51.9,3,6,64
STU_0077,JD_0001,0,0.5,58.83,-5.17,3,0.5,3.06,95.0,49.35,4,6,64
STU_0078,JD_0001,0,0.1667,48.0,-16.0,5,1.0,1.82,83.0,52.5,1,6,64
STU_0079,JD_0001,0,0.0,32.67,-31.33,6,0.0,-0.33,85.0,46.35,2,6,64
STU_0080,JD_0001,0,0.0,41.83,-22.17,6,0.0,0.39,75.0,47.3,1,6,64
STU_0081,JD_0001,0,0.1667,47.83,-16.17,5,0.0,0.56,100.0,50.7,4,6,64
STU_0082,JD_0001,0,0.0,42.5,-21.5,6,1.0,0.78,100.0,53.75,-1,6,64
STU_0083,JD_0001,0,0.1667,54.0,-10.0,5,0.5,0.75,93.0,57.3,2,6,64
STU_0084,JD_0001,0,0.5,63.0,-1.0,3,1.0,2.55,84.0,54.4,-1,6,64
STU_0085,JD_0001,0,0.5,59.67,-4.33,3,1.0,0.66,85.0,52.8,-1,6,64
STU_0086,JD_0001,0,0.1667,48.67,-15.33,5,0.5,-0.28,100.0,52.95,3,6,64
STU_0087,JD_0001,0,0.0,45.0,-19.0,6,1.0,1.35,88.0,53.5,0,6,64
STU_0088,JD_0001,0,0.3333,51.33,-12.67,4,1.0,-0.2,87.0,55.7,2,6,64
STU_0089,JD_0001,0,0.5,64.33,0.33,3,0.5,0.8,97.0,52.5,1,6,64
STU_0090,JD_0001,0,0.1667,50.33,-13.67,5,1.0,-0.37,92.0,49.05,-1,6,64
STU_0091,JD_0001,0,0.1667,45.17,-18.83,5,0.5,-0.7,79.0,44.9,2,6,64
STU_0092,JD_0001,0,0.0,51.33,-12.67,6,0.0,-0.47,78.0,51.7,3,6,64
STU_0093,JD_0001,0,0.5,57.0,-7.0,3,0.5,0.86,87.0,50.9,4,6,64
STU_0094,JD_0001,0,0.0,47.17,-16.83,6,0.5,0.62,88.0,51.4,1,6,64
STU_0095,JD_0001,0,0.0,42.83,-21.17,6,0.5,2.25,86.0,52.25,4,6,64
STU_0096,JD_0001,0,0.3333,56.83,-7.17,4,0.0,-0.88,78.0,49.25,1,6,64
STU_0097,JD_0001,0,0.1667,49.17,-14.83,5,1.0,1.77,84.0,52.15,1,6,64
STU_0098,JD_0001,0,0.1667,45.67,-18.33,5,1.0,2.4,92.0,54.5,0,6,64
STU_0099,JD_0001,0,0.3333,51.83,-12.17,4,0.5,2.1,89.0,54.45,3,6,64
STU_0100,JD_0001,0,0.1667,56.0,-8.0,5,0.5,0.09,82.0,53.8,-1,6,64
STU_0101,JD_0001,0,0.1667,39.67,-24.33,5,1.0,0.79,75.0,44.4,2,6,64
STU_0102,JD_0001,0,0.5,66.17,2.17,3,0.5,0.27,90.0,54.95,2,6,64
STU_0103,JD_0001,0,0.1667,44.5,-19.5,5,0.0,0.55,88.0,48.45,3,6,64
STU_0104,JD_0001,0,0.1667,55.83,-8.17,5,0.5,0.65,84.0,53.6,1,6,64
STU_0105,JD_0001,0,0.0,45.33,-18.67,6,0.5,2.48,72.0,47.75,3,6,64
STU_0106,JD_0001,0,0.0,38.83,-25.17,6,0.5,0.54,88.0,47.35,0,6,64
STU_0107,JD_0001,0,0.3333,59.83,-4.17,4,0.5,1.21,100.0,55.65,1,6,64
STU_0108,JD_0001,0,0.3333,52.17,-11.83,4,0.5,-0.16,94.0,50.3,1,6,64
STU_0109,JD_0001,0,0.3333,50.67,-13.33,4,1.0,1.78,86.0,54.15,2,6,64
STU_0110,JD_0001,0,0.3333,52.33,-11.67,4,0.5,3.12,80.0,51.0,3,6,64
