student_id,job_id,student_name,job_title,match_score,n_matched,n_missing,matched_skills,missing_skills,guardrail_status,allow_payment
1,1,Student_001,Research Analyst,57.1,4,3,"excel, machine learning, r, sql","data visualization, python, statistics",MODERATE_MATCH,True
1,2,Student_001,BI Developer,33.3,2,4,"excel, sql","data visualization, power bi, statistics, tableau",LOW_MATCH,False
1,3,Student_001,Data Analyst,28.6,2,5,"excel, sql","data visualization, power bi, python, statistics, tableau",LOW_MATCH,False
1,4,Student_001,Data Scientist,40.0,2,3,"machine learning, sql","pandas, python, statistics",LOW_MATCH,False
1,5,Student_001,Data Engineer,33.3,2,4,"aws, sql","docker, pandas, postgresql, python",LOW_MATCH,False
1,6,Student_001,Backend Developer,22.2,2,7,"aws, rest api","docker, fastapi, flask, git, mongodb, postgresql, python",VERY_LOW_MATCH,False
1,7,Student_001,Backend Developer,20.0,1,4,rest api,"docker, git, postgresql, python",VERY_LOW_MATCH,False
1,8,Student_001,Data Scientist,33.3,2,4,"machine learning, sql","pandas, python, statistics, tableau",LOW_MATCH,False
1,9,Student_001,Backend Developer,20.0,1,4,rest api,"docker, git, postgresql, python",VERY_LOW_MATCH,False
1,10,Student_001,BI Developer,40.0,2,3,"excel, sql","data visualization, power bi, tableau",LOW_MATCH,False
1,11,Student_001,BI Developer,25.0,2,6,"excel, sql","data visualization, postgresql, power bi, python, statistics, tableau",LOW_MATCH,False
1,12,Student_001,Data Analyst,28.6,2,5,"excel, sql","data visualization, pandas, power bi, python, statistics",LOW_MATCH,False
1,13,Student_001,Research Analyst,42.9,3,4,"excel, r, sql","data visualization, pandas, python, statistics",LOW_MATCH,False
1,14,Student_001,Data Analyst,28.6,2,5,"excel, sql","data visualization, power bi, python, statistics, tableau",LOW_MATCH,False
1,15,Student_001,Data Scientist,50.0,4,4,"machine learning, nlp, r, sql","pandas, python, statistics, tableau",MODERATE_MATCH,True
1,16,Student_001,Data Scientist,62.5,5,3,"deep learning, machine learning, nlp, r, sql","pandas, python, statistics",MODERATE_MATCH,True
1,17,Student_001,Data Analyst,28.6,2,5,"excel, sql","data visualization, power bi, python, statistics, tableau",LOW_MATCH,False
1,18,Student_001,Backend Developer,20.0,1,4,rest api,"docker, git, postgresql, python",VERY_LOW_MATCH,False
1,19,Student_001,Backend Developer,20.0,1,4,rest api,"docker, git, postgresql, python",VERY_LOW_MATCH,False
1,20,Student_001,ML Engineer,50.0,4,4,"aws, deep learning, machine learning, sql","docker, python, scikit-learn, statistics",MODERATE_MATCH,True
1,21,Student_001,Data Analyst,40.0,2,3,"excel, sql","data visualization, power bi, statistics",LOW_MATCH,False
1,22,Student_001,Data Scientist,55.6,5,4,"deep learning, machine learning, nlp, r, sql","pandas, python, statistics, tableau",MODERATE_MATCH,True
1,23,Student_001,Backend Developer,16.7,1,5,rest api,"docker, fastapi, git, postgresql, python",VERY_LOW_MATCH,False
1,24,Student_001,Data Scientist,55.6,5,4,"deep learning, machine learning, nlp, r, sql","pandas, python, statistics, tableau",MODERATE_MATCH,True
1,25,Student_001,NLP Engineer,44.4,4,5,"deep learning, machine learning, nlp, rest api","keras, numpy, pandas, python, tensorflow",LOW_MATCH,False
1,26,Student_001,Data Engineer,33.3,3,6,"aws, linux, sql","docker, git, mongodb, pandas, postgresql, python",LOW_MATCH,False
1,27,Student_001,ML Engineer,37.5,3,5,"deep learning, machine learning, sql","docker, python, scikit-learn, statistics, tensorflow",LOW_MATCH,False
1,28,Student_001,BI Developer,25.0,2,6,"excel, sql","data visualization, postgresql, power bi, python, statistics, tableau",LOW_MATCH,False
1,29,Student_001,Data Engineer,40.0,2,3,"aws, sql","docker, postgresql, python",LOW_MATCH,False
1,30,Student_001,ML Engineer,40.0,2,3,"machine learning, sql","python, scikit-learn, statistics",LOW_MATCH,False
1,31,Student_001,ML Engineer,33.3,2,4,"machine learning, sql","docker, python, scikit-learn, statistics",LOW_MATCH,False
1,32,Student_001,Backend Developer,25.0,2,6,"aws, rest api","docker, flask, git, mongodb, postgresql, python",LOW_MATCH,False
1,33,Student_001,ML Engineer,44.4,4,5,"aws, deep learning, machine learning, sql","docker, python, scikit-learn, statistics, tensorflow",LOW_MATCH,False
1,34,Student_001,Data Engineer,37.5,3,5,"aws, linux, sql","docker, mongodb, pandas, postgresql, python",LOW_MATCH,False
1,35,Student_001,Backend Developer,16.7,1,5,rest api,"docker, git, mongodb, postgresql, python",VERY_LOW_MATCH,False
1,36,Student_001,ML Engineer,37.5,3,5,"deep learning, machine learning, sql","docker, python, scikit-learn, statistics, tensorflow",LOW_MATCH,False
1,37,Student_001,Data Analyst,28.6,2,5,"excel, sql","data visualization, pandas, power bi, python, statistics",LOW_MATCH,False
1,38,Student_001,Data Engineer,40.0,2,3,"aws, sql","docker, postgresql, python",LOW_MATCH,False
1,39,Student_001,BI Developer,28.6,2,5,"excel, sql","data visualization, power bi, python, statistics, tableau",LOW_MATCH,False
1,40,Student_001,NLP Engineer,60.0,3,2,"deep learning, machine learning, nlp","python, tensorflow",MODERATE_MATCH,True
2,1,Student_002,Research Analyst,14.3,1,6,sql,"data visualization, excel, machine learning, python, r, statistics",VERY_LOW_MATCH,False
2,2,Student_002,BI Developer,16.7,1,5,sql,"data visualization, excel, power bi, statistics, tableau",VERY_LOW_MATCH,False
2,3,Student_002,Data Analyst,14.3,1,6,sql,"data visualization, excel, power bi, python, statistics, tableau",VERY_LOW_MATCH,False
2,4,Student_002,Data Scientist,20.0,1,4,sql,"machine learning, pandas, python, statistics",VERY_LOW_MATCH,False
2,5,Student_002,Data Engineer,16.7,1,5,sql,"aws, docker, pandas, postgresql, python",VERY_LOW_MATCH,False
2,6,Student_002,Backend Developer,0.0,0,9,,"aws, docker, fastapi, flask, git, mongodb, postgresql, python, rest api",VERY_LOW_MATCH,False
2,7,Student_002,Backend Developer,0.0,0,5,,"docker, git, postgresql, python, rest api",VERY_LOW_MATCH,False
2,8,Student_002,Data Scientist,16.7,1,5,sql,"machine learning, pandas, python, statistics, tableau",VERY_LOW_MATCH,False
2,9,Student_002,Backend Developer,0.0,0,5,,"docker, git, postgresql, python, rest api",VERY_LOW_MATCH,False
2,10,Student_002,BI Developer,20.0,1,4,sql,"data visualization, excel, power bi, tableau",VERY_LOW_MATCH,False
2,11,Student_002,BI Developer,12.5,1,7,sql,"data visualization, excel, postgresql, power bi, python, statistics, tableau",VERY_LOW_MATCH,False
2,12,Student_002,Data Analyst,14.3,1,6,sql,"data visualization, excel, pandas, power bi, python, statistics",VERY_LOW_MATCH,False
2,13,Student_002,Research Analyst,14.3,1,6,sql,"data visualization, excel, pandas, python, r, statistics",VERY_LOW_MATCH,False
2,14,Student_002,Data Analyst,14.3,1,6,sql,"data visualization, excel, power bi, python, statistics, tableau",VERY_LOW_MATCH,False
2,15,Student_002,Data Scientist,12.5,1,7,sql,"machine learning, nlp, pandas, python, r, statistics, tableau",VERY_LOW_MATCH,False
2,16,Student_002,Data Scientist,12.5,1,7,sql,"deep learning, machine learning, nlp, pandas, python, r, statistics",VERY_LOW_MATCH,False
2,17,Student_002,Data Analyst,14.3,1,6,sql,"data visualization, excel, power bi, python, statistics, tableau",VERY_LOW_MATCH,False
2,18,Student_002,Backend Developer,0.0,0,5,,"docker, git, postgresql, python, rest api",VERY_LOW_MATCH,False
2,19,Student_002,Backend Developer,0.0,0,5,,"docker, git, postgresql, python, rest api",VERY_LOW_MATCH,False
2,20,Student_002,ML Engineer,12.5,1,7,sql,"aws, deep learning, docker, machine learning, python, scikit-learn, statistics",VERY_LOW_MATCH,False
2,21,Student_002,Data Analyst,20.0,1,4,sql,"data visualization, excel, power bi, statistics",VERY_LOW_MATCH,False
