student_id,rank,job_id,title,company,score,status
204,1,101,Data Analyst,Crestline Digital,0.7502,ok
204,2,162,Business Analyst,Driftwood Analytics,0.7037,ok
204,3,159,Business Analyst,Northbridge Data Labs,0.7037,ok
204,4,161,Business Analyst,Orbit Cloud Co,0.7037,ok
204,5,104,Data Analyst,Bluepeak Systems,0.6516,ok
267,1,178,Product Manager,Ferrous Tech,0.745,ok
267,2,175,Product Manager,Altrodav Technologies,0.6234,ok
267,3,180,Product Manager,Crestline Digital,0.6153,ok
267,4,177,Product Manager,Granite Edge Tech,0.6051,ok
267,5,179,Product Manager,Quanta Robotics,0.5386,ok
153,1,136,Frontend Developer,Bluepeak Systems,0.7952,ok
153,2,139,Frontend Developer,Quanta Robotics,0.7952,ok
153,3,134,Frontend Developer,Lumen Stack,0.7799,ok
153,4,140,Frontend Developer,Harborview Software,0.7799,ok
153,5,143,Full Stack Developer,Skyline Softworks,0.733,ok
10,1,136,Frontend Developer,Bluepeak Systems,0.8626,ok
10,2,139,Frontend Developer,Quanta Robotics,0.8626,ok
10,3,140,Frontend Developer,Harborview Software,0.8415,ok
10,4,133,Frontend Developer,Driftwood Analytics,0.6807,ok
10,5,138,Frontend Developer,Quanta Robotics,0.5518,ok
234,1,122,ML Engineer,Harborview Software,0.9052,ok
234,2,123,ML Engineer,Ferrous Tech,0.788,ok
234,3,121,ML Engineer,Orbit Cloud Co,0.788,ok
234,4,109,Data Scientist,Meridian Apps,0.7388,ok
234,5,118,ML Engineer,Meridian Apps,0.7335,ok
227,1,152,DevOps Engineer,Granite Edge Tech,0.8117,ok
227,2,149,DevOps Engineer,Northbridge Data Labs,0.6906,ok
227,3,154,DevOps Engineer,Northbridge Data Labs,0.674,ok
227,4,155,DevOps Engineer,Granite Edge Tech,0.6685,ok
227,5,156,DevOps Engineer,Cobalt Cloud Studio,0.5065,ok
197,1,155,DevOps Engineer,Granite Edge Tech,0.9094,ok
197,2,154,DevOps Engineer,Northbridge Data Labs,0.9024,ok
197,3,149,DevOps Engineer,Northbridge Data Labs,0.8819,ok
197,4,150,DevOps Engineer,Quanta Robotics,0.8097,ok
197,5,152,DevOps Engineer,Granite Edge Tech,0.788,ok
110,1,143,Full Stack Developer,Skyline Softworks,0.8477,ok
110,2,142,Full Stack Developer,Ferrous Tech,0.8477,ok
110,3,146,Full Stack Developer,Skyline Softworks,0.7517,ok
110,4,141,Full Stack Developer,Vertex Analytics,0.7517,ok
110,5,137,Frontend Developer,Bluepeak Systems,0.671,ok
6,1,120,ML Engineer,Meridian Apps,0.8711,ok
6,2,117,ML Engineer,Bluepeak Systems,0.8517,ok
6,3,118,ML Engineer,Meridian Apps,0.8077,ok
