student_id,before_top1_job,before_top1_score,after_top1_job,after_top1_score,score_delta,top1_changed,snapshot_note,verdict
1,DevOps Engineer,0.9124,DevOps Engineer,0.9124,0.0,False,clean,ok
2,DevOps Engineer,0.712,DevOps Engineer,0.712,0.0,False,clean,ok
3,Full Stack Developer,0.8776,Full Stack Developer,0.8776,0.0,False,clean,ok
4,DevOps Engineer,0.6818,DevOps Engineer,0.6818,0.0,False,clean,ok
5,Data Scientist,0.775,Data Scientist,0.775,0.0,False,clean,ok
6,ML Engineer,0.8711,ML Engineer,0.7449,-0.1262,False,stale_snapshot,edge_case_handled
7,Product Manager,1.0,Product Manager,1.0,0.0,False,clean,ok
8,Data Scientist,0.9086,Data Scientist,0.9086,0.0,False,clean,ok
9,Data Scientist,0.8724,Data Scientist,0.7311,-0.1413,True,stale_snapshot,edge_case_handled
10,Frontend Developer,0.8626,Frontend Developer,0.8626,0.0,False,clean,ok
11,Backend Developer,0.9679,Backend Developer,0.9679,0.0,False,clean,ok
12,QA Engineer,0.7926,QA Engineer,0.7926,0.0,False,clean,ok
13,ML Engineer,0.7104,ML Engineer,0.7104,0.0,False,clean,ok
14,QA Engineer,0.8489,QA Engineer,0.8489,0.0,False,clean,ok
15,Business Analyst,0.8905,Business Analyst,0.8905,0.0,False,clean,ok
16,Frontend Developer,0.9007,Frontend Developer,0.9007,0.0,False,clean,ok
17,Product Manager,0.9577,Product Manager,0.9577,0.0,False,clean,ok
18,Data Scientist,0.7473,Data Scientist,0.7473,0.0,False,clean,ok
19,Data Scientist,0.8882,Data Scientist,0.8882,0.0,False,clean,ok
20,Product Manager,0.8946,Product Manager,0.8946,0.0,False,clean,ok
21,DevOps Engineer,0.9533,DevOps Engineer,0.9533,0.0,False,clean,ok
22,ML Engineer,0.9479,ML Engineer,0.9479,0.0,False,clean,ok
23,Data Analyst,1.0,Data Analyst,1.0,0.0,False,clean,ok
24,Product Manager,0.9255,Product Manager,0.9255,0.0,False,clean,ok
25,Product Manager,0.8818,Product Manager,0.8818,0.0,False,clean,ok
26,QA Engineer,0.8347,QA Engineer,0.8347,0.0,False,clean,ok
27,Frontend Developer,0.9213,Frontend Developer,0.9213,0.0,False,clean,ok
28,DevOps Engineer,0.8976,DevOps Engineer,0.8976,0.0,False,clean,ok
29,DevOps Engineer,0.9275,DevOps Engineer,0.9275,0.0,False,clean,ok
30,DevOps Engineer,0.8635,DevOps Engineer,0.8635,0.0,False,clean,ok
31,Data Analyst,1.0,Data Analyst,1.0,0.0,False,clean,ok
32,Data Analyst,0.8262,Data Analyst,0.8262,0.0,False,clean,ok
33,ML Engineer,0.799,ML Engineer,0.799,0.0,False,clean,ok
34,Business Analyst,0.9025,Business Analyst,0.9025,0.0,False,clean,ok
35,Product Manager,0.6781,Product Manager,0.6781,0.0,False,clean,ok
36,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
37,ML Engineer,0.6231,ML Engineer,0.6231,0.0,False,clean,ok
38,Frontend Developer,0.7881,Frontend Developer,0.7881,0.0,False,clean,ok
39,Data Analyst,0.7408,Data Analyst,0.7408,0.0,False,clean,ok
40,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
41,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
42,Backend Developer,0.867,Backend Developer,0.867,0.0,False,clean,ok
43,Data Scientist,1.0,Data Scientist,1.0,0.0,False,clean,ok
44,Full Stack Developer,0.8151,Full Stack Developer,0.8151,0.0,False,clean,ok
45,Business Analyst,0.7383,Business Analyst,0.7383,0.0,False,clean,ok
46,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
47,Full Stack Developer,0.8454,Full Stack Developer,0.8454,0.0,False,clean,ok
48,Backend Developer,0.8371,Backend Developer,0.8371,0.0,False,clean,ok
49,Business Analyst,0.643,Business Analyst,0.643,0.0,False,clean,ok
50,DevOps Engineer,0.8434,DevOps Engineer,0.8434,0.0,False,clean,ok
51,QA Engineer,0.9746,QA Engineer,0.9746,0.0,False,clean,ok
52,Product Manager,0.8571,Product Manager,0.8571,0.0,False,clean,ok
53,Product Manager,0.8889,Product Manager,0.7871,-0.1018,True,stale_snapshot,edge_case_handled
54,Business Analyst,0.8072,Business Analyst,0.8072,0.0,False,clean,ok
55,DevOps Engineer,0.858,DevOps Engineer,0.858,0.0,False,clean,ok
56,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
57,DevOps Engineer,0.8527,DevOps Engineer,0.8527,0.0,False,clean,ok
58,QA Engineer,0.9119,QA Engineer,0.9119,0.0,False,clean,ok
59,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
60,Data Analyst,0.9115,Data Analyst,0.9115,0.0,False,clean,ok
61,Data Scientist,0.8616,Data Scientist,0.8616,0.0,False,clean,ok
62,QA Engineer,0.9302,QA Engineer,0.9302,0.0,False,clean,ok
63,Business Analyst,0.849,Business Analyst,0.849,0.0,False,clean,ok
64,Frontend Developer,0.7236,Frontend Developer,0.7236,0.0,False,clean,ok
65,DevOps Engineer,0.9337,DevOps Engineer,0.9337,0.0,False,clean,ok
66,Backend Developer,0.7258,Backend Developer,0.7258,0.0,False,clean,ok
67,ML Engineer,0.924,ML Engineer,0.924,0.0,False,clean,ok
68,Backend Developer,0.7687,Backend Developer,0.6759,-0.0928,False,stale_snapshot,edge_case_handled
69,ML Engineer,0.9759,ML Engineer,0.9759,0.0,False,clean,ok
70,Full Stack Developer,0.981,Full Stack Developer,0.981,0.0,False,clean,ok
71,ML Engineer,0.7629,ML Engineer,0.7629,0.0,False,clean,ok
72,QA Engineer,1.0,QA Engineer,1.0,0.0,False,clean,ok
73,Business Analyst,0.8434,Business Analyst,0.8434,0.0,False,clean,ok
74,Data Scientist,0.9149,Data Scientist,0.9149,0.0,False,clean,ok
75,Full Stack Developer,0.9297,Full Stack Developer,0.9297,0.0,False,clean,ok
76,Data Analyst,0.7821,Data Analyst,0.7821,0.0,False,clean,ok
77,Frontend Developer,0.7385,Frontend Developer,0.7385,0.0,False,clean,ok
78,Frontend Developer,0.8969,Frontend Developer,0.8969,0.0,False,clean,ok
