event_id,event_type,student_id,job_id,session_id,model_version,rank_position,score,recruiter_id,timestamp
EVT-6B55A65C91,impression,1,1,SESS-71708024,reco-v1.3,1,0.868,,1784639934.416
EVT-E4D1EB5A4C,impression,1,2,SESS-71708024,reco-v1.3,2,0.707,,1784639934.416
EVT-F0CCF4DF3E,impression,1,12,SESS-71708024,reco-v1.3,3,0.707,,1784639934.416
EVT-9551EEE8F7,impression,1,3,SESS-71708024,reco-v1.3,4,0.702,,1784639934.416
EVT-9410B4A483,impression,1,6,SESS-71708024,reco-v1.3,5,0.702,,1784639934.416
EVT-9BE471A226,click,1,1,SESS-71708024,,,,,1784639934.416
EVT-303E20D0B2,apply,1,1,SESS-71708024,,,,,1784639934.416
EVT-51E48DEBF9,shortlist,1,1,SESS-71708024,,,,REC-001,1784639934.416
EVT-770F3CD5B4,click,1,2,SESS-71708024,,,,,1784639934.416
EVT-B442C5B810,click,1,6,SESS-71708024,,,,,1784639934.416
EVT-D10322DF66,apply,1,6,SESS-71708024,,,,,1784639934.416
EVT-448DA7B66F,shortlist,1,6,SESS-71708024,,,,REC-006,1784639934.416
EVT-F39FF6ED41,impression,2,8,SESS-3441fbae,reco-v1.3,1,0.86,,1784639934.416
EVT-433AA3543B,impression,2,12,SESS-3441fbae,reco-v1.3,2,0.715,,1784639934.416
EVT-E9B4CAA764,impression,2,5,SESS-3441fbae,reco-v1.3,3,0.615,,1784639934.416
EVT-9575210711,impression,2,2,SESS-3441fbae,reco-v1.3,4,0.532,,1784639934.416
EVT-FD362C0B14,impression,2,1,SESS-3441fbae,reco-v1.3,5,0.527,,1784639934.416
EVT-2DED81E17B,click,2,8,SESS-3441fbae,,,,,1784639934.416
EVT-A9D898FC90,click,2,12,SESS-3441fbae,,,,,1784639934.416
EVT-F9E2030FAB,apply,2,12,SESS-3441fbae,,,,,1784639934.416
EVT-CF2EC67AF4,click,2,2,SESS-3441fbae,,,,,1784639934.416
EVT-CC433ECF97,impression,3,2,SESS-b3d7959e,reco-v1.3,1,0.713,,1784639934.416
EVT-A23C1200BA,impression,3,12,SESS-b3d7959e,reco-v1.3,2,0.713,,1784639934.416
EVT-E500704723,impression,3,1,SESS-b3d7959e,reco-v1.3,3,0.708,,1784639934.416
EVT-C9DA00D0C3,impression,3,4,SESS-b3d7959e,reco-v1.3,4,0.708,,1784639934.416
EVT-F1095815BB,impression,3,6,SESS-b3d7959e,reco-v1.3,5,0.708,,1784639934.416
EVT-A6CDC68058,click,3,2,SESS-b3d7959e,,,,,1784639934.416
EVT-8C1187980C,click,3,1,SESS-b3d7959e,,,,,1784639934.416
EVT-3EE167BF11,apply,3,1,SESS-b3d7959e,,,,,1784639934.416
EVT-03FDF907D2,click,3,6,SESS-b3d7959e,,,,,1784639934.416
EVT-0344890901,apply,3,6,SESS-b3d7959e,,,,,1784639934.416
EVT-2E85EA925C,impression,4,4,SESS-8ca4e2a8,reco-v1.3,1,0.731,,1784639934.417
EVT-0958D3E957,impression,4,7,SESS-8ca4e2a8,reco-v1.3,2,0.698,,1784639934.417
EVT-3961E0E22A,impression,4,1,SESS-8ca4e2a8,reco-v1.3,3,0.381,,1784639934.417
EVT-040921D02F,impression,4,10,SESS-8ca4e2a8,reco-v1.3,4,0.381,,1784639934.417
EVT-19D22A9E4A,impression,4,2,SESS-8ca4e2a8,reco-v1.3,5,0.369,,1784639934.417
EVT-1210B9B2B0,click,4,4,SESS-8ca4e2a8,,,,,1784639934.417
EVT-EB60D3DBCE,impression,5,5,SESS-f59702c1,reco-v1.3,1,0.635,,1784639934.417
