student_id,ndcg_before,ndcg_after,ndcg_delta,p5_before,p5_after,p5_delta,quality_held_constant,tolerance
1,0.9675,0.9675,0.0,0.6,0.6,0.0,True,0.005
2,0.6183,0.6183,0.0,0.6,0.6,0.0,True,0.005
3,0.906,0.906,0.0,0.6,0.6,0.0,True,0.005
4,0.9829,0.9829,0.0,0.8,0.8,0.0,True,0.005
5,1.0,1.0,0.0,0.8,0.8,0.0,True,0.005
6,0.8772,0.8772,0.0,0.4,0.4,0.0,True,0.005
7,0.9829,0.9829,0.0,0.8,0.8,0.0,True,0.005
8,0.9047,0.9047,0.0,0.8,0.8,0.0,True,0.005
9,0.9829,0.9829,0.0,0.8,0.8,0.0,True,0.005
10,0.9558,0.9558,0.0,0.8,0.8,0.0,True,0.005
