event,student_id,masked_id,pii_dropped,at,feature_store_deleted
INGEST,1,CANDIDATE_F54FF5,['email'],2026-08-07T05:43:55,
INGEST,2,CANDIDATE_188492,['email'],2026-08-07T05:43:55,
INGEST,3,CANDIDATE_78908A,['email'],2026-08-07T05:43:55,
INGEST,4,CANDIDATE_CE0B22,['email'],2026-08-07T05:43:55,
INGEST,5,CANDIDATE_4B5FDA,['email'],2026-08-07T05:43:55,
INGEST,6,CANDIDATE_337EF6,['email'],2026-08-07T05:43:55,
INGEST,7,CANDIDATE_928CAE,['email'],2026-08-07T05:43:55,
INGEST,8,CANDIDATE_7231C2,['email'],2026-08-07T05:43:55,
INGEST,9,CANDIDATE_DF77A2,['email'],2026-08-07T05:43:55,
INGEST,10,CANDIDATE_70ED0D,['email'],2026-08-07T05:43:55,
DELETION_REQUEST,1,,,2026-08-07T05:43:55,True
