event_id,event_type,student_id,job_id,session_id,model_version,rank_position,score,recruiter_id,timestamp
EVT-6B6700720D,impression,1,1,SESS-e2ac2b67,reco-v1.3,1,0.868,,1784640383.577
EVT-451882C519,impression,1,2,SESS-e2ac2b67,reco-v1.3,2,0.707,,1784640383.577
EVT-62496C1D41,impression,1,12,SESS-e2ac2b67,reco-v1.3,3,0.707,,1784640383.577
EVT-DA19C21CAD,impression,1,3,SESS-e2ac2b67,reco-v1.3,4,0.702,,1784640383.577
EVT-F48609F4A5,impression,1,6,SESS-e2ac2b67,reco-v1.3,5,0.702,,1784640383.577
EVT-2B99EA285E,click,1,1,SESS-e2ac2b67,,,,,1784640383.577
EVT-2BB4D9A687,apply,1,1,SESS-e2ac2b67,,,,,1784640383.577
EVT-7BDA4DB8DF,shortlist,1,1,SESS-e2ac2b67,,,,REC-001,1784640383.577
EVT-342F902F76,click,1,2,SESS-e2ac2b67,,,,,1784640383.577
EVT-B4DBFACC52,click,1,6,SESS-e2ac2b67,,,,,1784640383.577
EVT-C6BAFCECBC,apply,1,6,SESS-e2ac2b67,,,,,1784640383.577
EVT-BD83EFF5F3,shortlist,1,6,SESS-e2ac2b67,,,,REC-006,1784640383.577
EVT-E957101E9D,impression,2,8,SESS-09dc9613,reco-v1.3,1,0.86,,1784640383.577
EVT-571172667D,impression,2,12,SESS-09dc9613,reco-v1.3,2,0.715,,1784640383.577
EVT-1B0EF47754,impression,2,5,SESS-09dc9613,reco-v1.3,3,0.615,,1784640383.577
EVT-BE8EE41A84,impression,2,2,SESS-09dc9613,reco-v1.3,4,0.532,,1784640383.577
EVT-38A90CE70D,impression,2,1,SESS-09dc9613,reco-v1.3,5,0.527,,1784640383.577
EVT-1AE6B33DF6,click,2,8,SESS-09dc9613,,,,,1784640383.577
EVT-9F7269566D,click,2,12,SESS-09dc9613,,,,,1784640383.577
EVT-865EE6A2FE,apply,2,12,SESS-09dc9613,,,,,1784640383.577
EVT-C06D2ACF9C,click,2,2,SESS-09dc9613,,,,,1784640383.577
EVT-4A192BCC59,impression,3,2,SESS-97803f85,reco-v1.3,1,0.713,,1784640383.577
EVT-CD66D78FD4,impression,3,12,SESS-97803f85,reco-v1.3,2,0.713,,1784640383.577
EVT-9455A28C55,impression,3,1,SESS-97803f85,reco-v1.3,3,0.708,,1784640383.577
EVT-32C9469210,impression,3,4,SESS-97803f85,reco-v1.3,4,0.708,,1784640383.577
EVT-471B5AC7E0,impression,3,6,SESS-97803f85,reco-v1.3,5,0.708,,1784640383.577
EVT-C34267ACD3,click,3,2,SESS-97803f85,,,,,1784640383.577
EVT-BED3C89D7A,click,3,1,SESS-97803f85,,,,,1784640383.577
EVT-C6CB7D7B0F,apply,3,1,SESS-97803f85,,,,,1784640383.577
EVT-992E0D66AF,click,3,6,SESS-97803f85,,,,,1784640383.577
EVT-D5E16E25D5,apply,3,6,SESS-97803f85,,,,,1784640383.577
EVT-7213BF3AD4,impression,4,4,SESS-951eba23,reco-v1.3,1,0.731,,1784640383.577
EVT-C5367D4205,impression,4,7,SESS-951eba23,reco-v1.3,2,0.698,,1784640383.577
